Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:07,Zeri,4,1,2
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,30:46,Xayah,5,0,6
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:48,Zeri,5,0,8
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,37:55,Draven,2,2,5
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:54,Varus,6,1,14
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,32:11,Ezreal,2,3,0
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,26:07,Varus,4,2,2
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,24:45,Zeri,6,0,6
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:19,Tristana,0,2,13
2023-08-04,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,28:35,Tristana,8,3,4
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,27:48,Kai'Sa,9,2,5
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,Nongshim RedForce,33:18,Aphelios,3,3,5
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,T1,26:41,Vayne,13,2,4
2023-07-29,KR LCK 2023 Summer,13.13,Win,Blue,T1,27:27,Zeri,5,0,7
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,29:59,Zeri,11,1,2
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,26:14,Zeri,3,2,7
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,26:08,Kai'Sa,8,0,3
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,27:25,Aphelios,2,0,10
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,35:50,Ezreal,1,1,7
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,31:07,Aphelios,11,1,2
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,30:01,Kai'Sa,5,2,6
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,DRX,34:47,Kai'Sa,10,2,7
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,26:52,Kai'Sa,7,2,8
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,30:45,Kai'Sa,8,1,2
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,30:11,Kai'Sa,1,1,4
2023-07-13,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,26:13,Kai'Sa,8,2,6
