Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,30:38,Braum,0,4,1
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Red,DRX,28:05,Braum,0,5,3
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,T1,23:43,Braum,0,3,2
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,T1,23:40,Nautilus,0,3,3
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Red,Dplus KIA,27:32,Braum,0,3,2
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Red,Dplus KIA,28:41,Braum,0,8,3
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,29:59,Rakan,0,3,2
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,26:14,Nautilus,0,5,3
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,32:23,Rell,0,4,2
2023-07-22,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,30:49,Rell,2,0,12
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,34:47,Alistar,1,5,3
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,30:60,Alistar,1,4,3
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,49:15,Rakan,0,6,5
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,24:13,Braum,0,4,1
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,26:45,Rakan,0,3,4
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,30:03,Alistar,0,3,4
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,34:18,Rakan,3,1,11
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,34:16,Nautilus,0,3,4
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,44:35,Leona,2,3,6
