Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:07,Annie,1,1,9
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,30:46,Azir,3,1,4
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:48,Xerath,8,0,8
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,37:55,Tristana,2,2,6
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:54,Tristana,10,1,8
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,32:11,Neeko,0,5,2
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,26:07,Azir,2,2,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,24:45,Tristana,6,2,3
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:19,Ahri,7,3,10
2023-08-04,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,28:35,Neeko,2,2,11
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,27:48,Annie,2,2,12
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,Nongshim RedForce,33:18,Azir,4,3,3
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,T1,26:41,Annie,4,0,6
2023-07-29,KR LCK 2023 Summer,13.13,Win,Blue,T1,27:27,Neeko,6,1,5
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,29:59,Neeko,4,1,1
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,26:14,Azir,7,1,5
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,26:08,Azir,4,1,9
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,27:25,Jayce,7,1,4
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,35:50,Twisted Fate,2,1,5
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,31:07,Azir,3,1,8
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,30:01,Azir,3,1,6
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,DRX,34:47,Twisted Fate,3,3,13
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,26:52,Azir,4,0,6
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,30:45,Azir,2,2,6
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,30:11,Veigar,1,3,3
2023-07-13,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,26:13,Azir,7,1,11
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:52,Azir,2,3,11
2023-07-09,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,29:12,Neeko,4,1,6
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,32:38,Veigar,6,2,4
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,30:38,Azir,1,2,7
2023-06-30,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,30:42,Annie,4,2,9
2023-06-30,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,28:24,Annie,4,2,13
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,26:03,Neeko,3,0,5
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,35:59,Neeko,1,1,9
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,26:31,Twisted Fate,2,3,14
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,30:35,Annie,1,0,11
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,22:35,Twisted Fate,4,0,8
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,37:02,Taliyah,2,1,4
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,23:51,Azir,5,3,5
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,39:07,Azir,2,3,5
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,25:45,Taliyah,4,1,8
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,22:45,Taliyah,9,1,8
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Blue,Gen.G,28:20,Ahri,0,0,0
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,Gen.G,24:05,Annie,0,1,2
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,Gen.G,24:02,Annie,3,0,11
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,26:45,Annie,1,0,6
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Hanwha Life Esports,29:32,K'Sante,3,3,0
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,31:34,Annie,2,2,10
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,28:37,Twisted Fate,0,2,5
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,35:52,Taliyah,1,3,4
