Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,34:03,Rumble,3,4,2
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,36:55,K'Sante,2,3,8
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,23:49,Renekton,0,5,0
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:00,Renekton,0,5,2
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Blue,Kwangdong Freecs,36:54,Jax,2,6,7
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,27:08,Jax,0,1,3
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,DRX,40:05,K'Sante,5,3,12
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,DRX,29:03,K'Sante,0,2,1
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,DRX,41:04,Jax,5,3,9
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,40:56,K'Sante,5,3,6
2023-06-23,KR LCK 2023 Summer,13.11,Win,Red,Hanwha Life Esports,29:40,Poppy,3,0,8
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,30:59,Gnar,1,4,5
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,31:07,Jax,3,1,1
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,40:37,K'Sante,3,5,2
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,34:29,Gnar,4,1,7
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,23:51,Ornn,0,3,0
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,39:07,Ornn,2,3,3
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,T1,26:47,Jax,1,3,1
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,T1,39:19,Renekton,1,4,5
2023-06-10,KR LCK 2023 Summer,13.10,Win,Red,Nongshim RedForce,28:10,K'Sante,4,0,7
2023-06-10,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,27:12,Gragas,1,0,8
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Blue,Dplus KIA,29:25,Jax,1,4,0
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Dplus KIA,29:39,Cho'Gath,0,2,0
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,KT Rolster,34:17,K'Sante,1,2,2
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Red,KT Rolster,27:41,K'Sante,0,3,0
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Win,Blue,KT Rolster,28:32,Gnar,2,3,5
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,KT Rolster,29:27,K'Sante,1,3,1
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Hanwha Life Esports,39:05,Jayce,2,3,3
2023-03-18,KR LCK 2023 Spring,13.5,Win,Blue,Hanwha Life Esports,31:26,Jayce,3,4,6
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Hanwha Life Esports,28:18,Gnar,1,3,0
2023-03-15,KR LCK 2023 Spring,13.5,Win,Red,BRION,36:15,Jax,4,4,5
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,BRION,29:34,K'Sante,4,1,0
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,DRX,32:04,Fiora,4,2,3
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,DRX,26:56,Jax,2,1,9
2023-03-11,KR LCK 2023 Spring,13.4,Loss,Blue,DRX,32:04,Gnar,1,2,0
2023-03-09,KR LCK 2023 Spring,13.4,Loss,Blue,Gen.G,29:37,Sion,0,3,0
2023-03-09,KR LCK 2023 Spring,13.4,Loss,Red,Gen.G,26:34,K'Sante,0,2,0
2023-03-05,KR LCK 2023 Spring,13.4,Loss,Blue,KT Rolster,27:09,Gnar,0,1,0
2023-03-05,KR LCK 2023 Spring,13.4,Loss,Blue,KT Rolster,38:58,Jayce,0,3,1
2023-03-03,KR LCK 2023 Spring,13.4,Loss,Blue,Kwangdong Freecs,29:45,Jax,1,2,0
2023-03-03,KR LCK 2023 Spring,13.4,Loss,Red,Kwangdong Freecs,49:07,Jax,4,3,5
2023-03-03,KR LCK 2023 Spring,13.4,Win,Blue,Kwangdong Freecs,29:43,Jax,3,1,3
2023-02-25,KR LCK 2023 Spring,13.3,Win,Red,Nongshim RedForce,29:43,Gnar,4,3,6
2023-02-25,KR LCK 2023 Spring,13.3,Win,Blue,Nongshim RedForce,40:08,Gnar,7,2,6
2023-02-25,KR LCK 2023 Spring,13.3,Loss,Red,Nongshim RedForce,51:48,Jax,2,4,3
2023-02-23,KR LCK 2023 Spring,13.3,Loss,Blue,T1,27:46,Gnar,1,2,4
2023-02-23,KR LCK 2023 Spring,13.3,Loss,Red,T1,30:42,Azir,0,4,1
2023-02-19,KR LCK 2023 Spring,13.3,Win,Red,Dplus KIA,30:23,Jax,3,2,3
2023-02-19,KR LCK 2023 Spring,13.3,Win,Red,Dplus KIA,32:55,Jax,0,0,5
2023-02-17,KR LCK 2023 Spring,13.3,Loss,Blue,T1,34:01,Gnar,0,1,0
