Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,35:42,K'Sante,2,3,0
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,36:05,K'Sante,5,3,2
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,32:44,K'Sante,3,0,5
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,30:28,Renekton,0,4,2
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,34:06,Jax,3,2,4
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,31:39,Renekton,1,4,2
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,34:44,Jax,4,1,2
2023-08-02,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,36:32,Jax,6,3,3
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,40:01,Renekton,2,6,3
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,33:02,Rumble,4,8,4
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,27:32,Renekton,2,1,4
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,28:41,K'Sante,4,0,7
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:27,Jax,3,1,9
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,30:52,Rumble,2,0,6
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,27:55,Renekton,0,2,0
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,35:50,Rumble,1,3,3
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:07,Rumble,2,3,2
2023-07-16,KR LCK 2023 Summer,13.12,Win,Red,T1,41:11,Renekton,6,4,16
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,T1,43:04,Renekton,6,3,2
2023-07-12,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,34:03,Jax,1,1,6
2023-07-12,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,36:55,Rumble,2,2,12
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,DRX,24:56,Jax,3,2,9
2023-07-07,KR LCK 2023 Summer,13.12,Win,Blue,DRX,25:33,LeBlanc,4,3,6
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:01,Jax,3,3,3
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:06,Jax,3,2,5
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Blue,T1,30:11,Renekton,3,5,1
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Red,T1,27:35,Jax,2,5,0
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,27:10,Renekton,5,2,8
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,32:56,Poppy,1,0,7
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,24:38,Jax,2,2,0
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Gen.G,31:06,Gragas,0,1,4
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,30:15,Gragas,1,3,2
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,22:35,Kennen,1,4,0
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Red,KT Rolster,37:02,Renekton,0,1,4
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,31:18,K'Sante,3,3,2
2023-06-18,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,29:12,Sion,0,1,4
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,34:09,Gragas,1,2,2
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,OKSavingsBank BRION,32:14,Renekton,0,3,0
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,27:58,Gragas,0,1,6
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,DRX,41:09,Ornn,0,3,11
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,DRX,34:27,Sion,1,4,10
2023-06-11,KR LCK 2023 Summer,13.10,Win,Red,DRX,21:45,Gnar,0,0,10
2023-06-07,KR LCK 2023 Summer,13.10,Win,Red,Liiv SANDBOX,29:25,Poppy,2,0,8
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Liiv SANDBOX,29:39,Sion,2,0,4
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,31:20,Jayce,1,5,2
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Red,Hanwha Life Esports,32:40,K'Sante,3,1,5
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Win,Blue,Hanwha Life Esports,29:46,Renekton,2,0,4
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,30:30,Jayce,1,1,1
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Gen.G,37:52,Kennen,8,6,5
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Gen.G,26:45,Kennen,0,2,1
