Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,35:42,Sejuani,0,1,3
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,36:05,Rell,2,4,5
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,32:44,Sejuani,3,0,6
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,30:28,Sejuani,0,2,4
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,34:06,Vi,1,5,5
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,31:39,Maokai,1,4,2
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,34:44,Vi,3,4,7
2023-08-02,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,36:32,Sejuani,1,2,11
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,40:01,Lillia,5,4,4
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,33:02,Nautilus,0,7,5
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,27:32,Lillia,3,1,7
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,28:41,Neeko,4,0,13
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:27,Ivern,2,0,14
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,30:52,Lee Sin,1,1,12
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,27:55,Diana,0,5,0
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,35:50,Nocturne,1,3,1
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:07,Vi,4,5,2
