Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Blue,KT Rolster,35:59,Yone,2,4,1
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Red,KT Rolster,28:19,Akali,4,2,5
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,T1,31:45,Azir,2,5,0
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,T1,28:01,Tristana,1,1,0
2023-07-28,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,32:10,Tristana,7,2,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,31:31,LeBlanc,5,1,13
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,33:24,Azir,6,4,4
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,41:13,Azir,2,1,2
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,DRX,29:22,Yone,4,1,4
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,DRX,27:33,Ahri,3,0,15
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,34:10,Akali,3,5,1
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,29:05,Tristana,1,2,0
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,24:13,Akali,3,0,8
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,26:45,LeBlanc,7,0,5
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,34:03,Jayce,3,3,4
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,36:55,Azir,7,5,3
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Blue,Nongshim RedForce,38:57,LeBlanc,2,2,4
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,34:22,Yone,4,4,3
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,23:49,Azir,2,4,2
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:00,Azir,2,3,1
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Blue,Kwangdong Freecs,36:54,LeBlanc,5,4,12
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,27:08,Kai'Sa,2,3,2
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,DRX,40:05,Irelia,7,6,6
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,DRX,29:03,Tristana,1,2,0
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,DRX,41:04,Tristana,6,3,6
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,40:56,Annie,0,4,11
2023-06-23,KR LCK 2023 Summer,13.11,Win,Red,Hanwha Life Esports,29:40,Azir,4,3,6
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,30:59,Azir,3,4,3
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,31:07,LeBlanc,6,1,7
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,40:37,LeBlanc,0,2,6
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,34:29,Neeko,1,3,4
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,23:51,LeBlanc,0,2,2
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,39:07,LeBlanc,2,2,3
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,T1,26:47,Ahri,2,3,2
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,T1,39:19,Ahri,3,2,9
2023-06-10,KR LCK 2023 Summer,13.10,Win,Red,Nongshim RedForce,28:10,Annie,3,2,12
2023-06-10,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,27:12,Ahri,2,1,7
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Blue,Dplus KIA,29:25,Jayce,1,4,0
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Dplus KIA,29:39,Syndra,0,3,0
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,KT Rolster,34:17,Lissandra,1,3,1
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Red,KT Rolster,27:41,Kassadin,0,1,0
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Win,Blue,KT Rolster,28:32,Ahri,1,1,8
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,KT Rolster,29:27,Ahri,1,4,4
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Hanwha Life Esports,39:05,Sylas,1,5,6
2023-03-18,KR LCK 2023 Spring,13.5,Win,Blue,Hanwha Life Esports,31:26,Ahri,3,1,11
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Hanwha Life Esports,28:18,Taliyah,0,3,2
2023-03-15,KR LCK 2023 Spring,13.5,Win,Red,BRION,36:15,Taliyah,4,1,7
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,BRION,29:34,Sylas,5,2,5
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,DRX,32:04,Sylas,5,1,6
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,DRX,26:56,LeBlanc,3,2,1
