Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:07,Kha'Zix,5,0,5
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,30:46,Viego,4,1,5
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:48,Viego,4,1,5
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,37:55,Maokai,2,3,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:54,Rell,3,1,19
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,32:11,Nocturne,1,3,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,26:07,Sejuani,0,5,7
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,24:45,Rell,0,1,16
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:19,Viego,8,2,10
2023-08-04,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,28:35,Viego,6,2,8
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,27:48,Viego,4,0,10
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,Nongshim RedForce,33:18,Sejuani,1,2,7
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,T1,26:41,Sejuani,0,0,15
2023-07-29,KR LCK 2023 Summer,13.13,Win,Blue,T1,27:27,Rell,1,0,13
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,29:59,Poppy,0,1,12
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,26:14,Poppy,6,0,11
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,26:08,Poppy,3,1,9
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,27:25,Maokai,0,2,11
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,35:50,Viego,1,1,7
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,31:07,Maokai,2,1,11
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,30:01,Viego,1,2,8
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,DRX,34:47,Viego,1,7,14
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,26:52,Viego,6,0,8
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,30:45,Maokai,2,2,8
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,30:11,Vi,0,3,4
2023-07-13,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,26:13,Vi,1,3,6
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:52,Skarner,2,0,12
2023-07-09,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,29:12,Nocturne,1,1,7
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,32:38,Sejuani,1,1,12
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,30:38,Sejuani,2,1,13
2023-06-30,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,30:42,Sejuani,5,2,8
2023-06-30,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,28:24,Viego,6,2,7
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,26:03,Vi,5,1,6
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,35:59,Sejuani,4,1,8
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,26:31,Viego,6,1,13
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,30:35,Viego,1,2,4
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,22:35,Viego,5,1,4
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,37:02,Vi,2,3,3
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,23:51,Viego,2,0,7
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,39:07,Viego,3,2,6
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,25:45,Sejuani,2,1,14
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,22:45,Sejuani,2,0,17
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Blue,Gen.G,28:20,Maokai,0,4,0
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,Gen.G,24:05,Volibear,0,3,2
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,Gen.G,24:02,Sejuani,2,1,15
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,26:45,Volibear,2,1,6
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Hanwha Life Esports,29:32,Sejuani,0,7,4
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,31:34,Viego,5,1,5
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,28:37,Vi,5,3,0
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,35:52,Sejuani,0,1,5
