Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,35:42,Aphelios,0,2,1
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,36:05,Varus,2,3,6
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,32:44,Kai'Sa,4,2,6
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,30:28,Kai'Sa,2,4,1
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,34:06,Varus,5,2,3
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,31:39,Aphelios,1,2,4
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,34:44,Ziggs,3,1,5
2023-08-02,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,36:32,Varus,4,3,8
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,40:01,Ashe,3,5,7
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,33:02,Varus,4,3,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,27:32,Kai'Sa,3,1,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,28:41,Kai'Sa,8,2,8
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:27,Varus,8,1,8
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,30:52,Jinx,8,0,5
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,27:55,Aphelios,0,3,0
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,35:50,Aphelios,1,2,3
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:07,Draven,3,3,3
2023-07-16,KR LCK 2023 Summer,13.12,Win,Red,T1,41:11,Kai'Sa,10,3,12
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,T1,43:04,Aphelios,5,3,6
2023-07-12,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,34:03,Kai'Sa,5,1,4
2023-07-12,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,36:55,Kai'Sa,13,2,8
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,DRX,24:56,Ashe,12,0,12
2023-07-07,KR LCK 2023 Summer,13.12,Win,Blue,DRX,25:33,Ashe,4,0,5
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:01,Ashe,5,2,16
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:06,Aphelios,5,2,7
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Blue,T1,30:11,Kai'Sa,3,5,6
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Red,T1,27:35,Kai'Sa,1,3,4
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,27:10,Aphelios,1,2,12
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,32:56,Draven,4,2,4
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,24:38,Jinx,0,2,1
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Gen.G,31:06,Aphelios,1,1,4
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,30:15,Aphelios,3,1,0
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,22:35,Lucian,1,3,1
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Red,KT Rolster,37:02,Lucian,4,2,4
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,31:18,Aphelios,3,3,4
2023-06-18,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,29:12,Jinx,7,1,1
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,DRX,41:09,Zeri,15,2,3
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,DRX,34:27,Ezreal,3,3,8
2023-06-11,KR LCK 2023 Summer,13.10,Win,Red,DRX,21:45,Draven,7,0,5
2023-06-07,KR LCK 2023 Summer,13.10,Win,Red,Liiv SANDBOX,29:25,Lucian,6,4,10
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Liiv SANDBOX,29:39,Draven,4,0,4
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,31:20,Varus,3,2,2
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Red,Hanwha Life Esports,32:40,Zeri,4,3,6
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Win,Blue,Hanwha Life Esports,29:46,Lucian,2,1,2
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,30:30,Varus,2,4,2
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Gen.G,37:52,Sivir,4,3,10
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Gen.G,26:45,Jinx,0,3,0
2023-03-16,KR LCK 2023 Spring,13.5,Loss,Blue,T1,35:40,Ezreal,3,2,3
2023-03-16,KR LCK 2023 Spring,13.5,Loss,Blue,T1,26:17,Xayah,1,3,3
2023-03-12,KR LCK 2023 Spring,13.4,Win,Red,BRION,30:30,Draven,6,1,5
