Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Red,T1,29:34,Alistar,1,0,15
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:11,Alistar,0,2,15
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,22:57,Rell,0,4,6
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,29:41,Rakan,0,0,8
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,28:59,Lulu,0,4,17
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:59,Maokai,2,2,10
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:06,Leona,2,4,4
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,28:30,Alistar,0,1,6
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,OKSavingsBank BRION,31:49,Nautilus,0,6,7
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Red,OKSavingsBank BRION,28:01,Nautilus,0,4,2
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,Hanwha Life Esports,26:06,Rell,1,3,14
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,Hanwha Life Esports,30:26,Leona,2,2,15
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Dplus KIA,40:01,Alistar,1,4,14
2023-07-30,KR LCK 2023 Summer,13.13,Win,Blue,Dplus KIA,33:02,Alistar,1,2,13
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Liiv SANDBOX,33:24,Leona,0,3,12
2023-07-26,KR LCK 2023 Summer,13.13,Win,Blue,Liiv SANDBOX,41:13,Nautilus,0,1,8
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,26:08,Rakan,1,2,5
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,27:25,Alistar,0,4,4
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:60,Rell,0,3,8
2023-07-20,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,49:15,Blitzcrank,1,1,15
2023-07-14,KR LCK 2023 Summer,13.12,Win,Red,DRX,27:48,Braum,0,0,15
2023-07-14,KR LCK 2023 Summer,13.12,Win,Red,DRX,32:54,Rakan,0,1,5
2023-07-12,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,23:40,Rakan,2,1,23
2023-07-12,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,22:54,Rell,1,1,8
2023-07-08,KR LCK 2023 Summer,13.12,Win,Blue,T1,29:08,Rakan,0,1,8
2023-07-08,KR LCK 2023 Summer,13.12,Win,Red,T1,26:47,Rakan,4,0,11
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,23:49,Nautilus,0,2,8
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,31:00,Rakan,2,2,15
2023-07-02,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,28:39,Alistar,0,2,10
2023-07-02,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,29:02,Rakan,0,3,19
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:03,Braum,1,2,6
2023-06-29,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,45:16,Gragas,1,2,8
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,24:38,Rakan,0,0,10
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,31:06,Milio,0,0,3
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,30:15,Milio,0,0,9
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,DRX,27:34,Yuumi,0,0,11
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,DRX,22:53,Yuumi,1,0,9
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,28:35,Rakan,0,1,7
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,28:10,Yuumi,0,1,8
2023-06-14,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,23:52,Milio,0,0,9
2023-06-14,KR LCK 2023 Summer,13.11,Win,Blue,Kwangdong Freecs,36:03,Milio,0,1,15
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,T1,32:23,Milio,2,2,11
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,T1,30:05,Milio,1,1,4
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,T1,26:29,Nami,1,2,12
2023-06-09,KR LCK 2023 Summer,13.10,Win,Red,KT Rolster,28:20,Yuumi,2,0,7
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,KT Rolster,24:05,Milio,0,0,8
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,24:02,Braum,0,5,3
2023-05-19,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,35:31,Thresh,2,7,9
2023-05-19,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,41:39,Tahm Kench,1,3,8
2023-05-19,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,27:32,Rakan,2,1,3
