Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Blue,KT Rolster,28:35,K'Sante,4,3,2
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,KT Rolster,27:48,K'Sante,0,4,2
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,KT Rolster,33:18,K'Sante,1,1,6
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,Dplus KIA,34:44,K'Sante,2,3,3
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Blue,Dplus KIA,36:32,Aatrox,3,5,4
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,34:37,K'Sante,1,1,9
2023-07-30,KR LCK 2023 Summer,13.13,Win,Blue,OKSavingsBank BRION,32:30,Renekton,3,0,6
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,OKSavingsBank BRION,38:33,Ornn,0,3,6
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,Hanwha Life Esports,27:10,Renekton,1,2,0
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Red,Hanwha Life Esports,22:28,K'Sante,0,2,0
2023-07-22,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,32:23,Renekton,4,3,5
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,30:49,Malphite,0,3,2
2023-07-22,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,34:47,Poppy,2,0,11
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,DRX,31:17,Renekton,2,0,1
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Red,DRX,31:51,Renekton,1,6,3
2023-07-20,KR LCK 2023 Summer,13.12,Win,Red,DRX,33:04,Renekton,4,2,7
2023-07-17,KR LCK CL 2023 Summer,13.12,Win,Red,OKSavingsBank BRION Challengers,30:26,K'Sante,2,1,2
2023-07-17,KR LCK CL 2023 Summer,13.12,Win,Red,OKSavingsBank BRION Challengers,25:10,K'Sante,3,0,3
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Red,T1,28:00,Trundle,1,7,1
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Red,T1,38:01,K'Sante,0,5,3
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,23:40,K'Sante,1,6,3
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,22:54,Jax,2,6,1
2023-07-08,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,38:57,Poppy,1,2,11
2023-07-08,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,34:22,K'Sante,8,1,9
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,23:40,K'Sante,0,3,2
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,24:26,Jax,1,4,0
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Blue,T1,28:13,Renekton,1,1,1
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Red,T1,26:51,Renekton,0,3,2
2023-07-02,KR LCK 2023 Summer,13.12,Win,Red,T1,34:29,Renekton,0,3,7
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,30:42,K'Sante,1,4,2
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,28:24,Gragas,1,4,1
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,DRX,36:37,K'Sante,1,2,2
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Red,DRX,33:46,Sion,2,3,4
2023-06-25,KR LCK 2023 Summer,13.11,Win,Blue,DRX,28:28,Renekton,1,1,5
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Blue,Kwangdong Freecs,30:24,Gragas,0,5,5
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Kwangdong Freecs,32:11,Renekton,0,1,0
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,Dplus KIA,31:18,Gwen,2,5,1
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,29:12,Gwen,1,2,1
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,28:35,K'Sante,0,2,2
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,28:10,Poppy,0,4,0
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Blue,Liiv SANDBOX,28:10,Sion,0,3,1
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Red,Liiv SANDBOX,27:12,Poppy,0,2,2
2023-06-08,KR LCK 2023 Summer,13.10,Win,Red,OKSavingsBank BRION,29:34,Gnar,4,3,4
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,OKSavingsBank BRION,35:37,Sion,1,1,6
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,OKSavingsBank BRION,32:05,Aatrox,0,4,0
2023-03-19,KR LCK 2023 Spring,13.5,Loss,Blue,T1,21:01,Maokai,1,5,3
2023-03-19,KR LCK 2023 Spring,13.5,Loss,Red,T1,23:20,LeBlanc,1,1,1
2023-03-17,KR LCK 2023 Spring,13.5,Win,Red,BRION,28:48,Darius,3,2,8
2023-03-17,KR LCK 2023 Spring,13.5,Win,Red,BRION,35:27,K'Sante,2,3,9
2023-03-10,KR LCK 2023 Spring,13.4,Loss,Blue,Dplus KIA,25:42,Darius,3,4,2
