Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-02-19,BR CBLOL 2023 Split 1,13.3,Loss,Red,INTZ,30:34,Nautilus,0,6,7
2023-02-18,BR CBLOL 2023 Split 1,13.3,Loss,Blue,Fluxo,31:37,Lux,0,2,3
2023-02-12,BR CBLOL 2023 Split 1,13.1,Loss,Red,FURIA,34:52,Soraka,0,0,2
2023-02-11,BR CBLOL 2023 Split 1,13.1,Win,Blue,Liberty,30:45,Heimerdinger,2,0,6
2023-02-05,BR CBLOL 2023 Split 1,13.1,Loss,Red,KaBuM! Esports,26:05,Lulu,0,1,2
2023-02-04,BR CBLOL 2023 Split 1,13.1,Win,Blue,LOUD,35:26,Lulu,1,0,17
2023-01-29,BR CBLOL 2023 Split 1,13.1,Win,Blue,Vivo Keyd Stars,29:32,Nami,1,0,10
2023-01-28,BR CBLOL 2023 Split 1,13.1,Win,Red,PaiN Gaming,30:15,Karma,2,0,15
2023-01-22,BR CBLOL 2023 Split 1,13.1,Win,Red,Los Grandes,37:26,Karma,1,3,17
2023-01-21,BR CBLOL 2023 Split 1,13.1,Win,Blue,INTZ,30:58,Nami,0,1,17
