Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Gen.G,31:49,Braum,1,2,14
2023-08-05,KR LCK 2023 Summer,13.14,Win,Blue,Gen.G,28:01,Leona,0,1,7
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,25:42,Rell,1,1,3
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Red,DRX,33:10,Maokai,1,3,5
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Nongshim RedForce,34:37,Alistar,0,4,7
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Nongshim RedForce,32:30,Nautilus,0,3,1
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,38:33,Maokai,1,2,8
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,32:10,Nautilus,0,4,1
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,31:31,Nautilus,0,4,8
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,T1,30:44,Rakan,0,0,9
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,T1,31:38,Alistar,1,3,3
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,T1,41:15,Rakan,1,3,9
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,33:27,Rell,0,7,5
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:52,Rakan,0,4,2
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,Dplus KIA,27:55,Rakan,0,0,12
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,33:08,Rell,0,4,1
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,32:35,Alistar,0,3,4
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,30:08,Rakan,0,0,15
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:03,Rell,0,2,12
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,34:18,Alistar,1,4,6
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,34:16,Alistar,0,1,10
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:52,Milio,0,2,5
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,29:12,Braum,0,3,3
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,32:38,Milio,0,3,4
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,30:38,Rell,0,3,4
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,32:55,Milio,0,0,6
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,DRX,28:56,Milio,1,3,2
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,34:13,Milio,0,3,19
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:03,Alistar,0,5,6
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,45:16,Alistar,1,4,9
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,28:31,Yuumi,1,0,4
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,30:06,Leona,1,3,8
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,31:07,Nautilus,0,3,2
2023-06-21,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,40:37,Rakan,0,1,15
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,34:29,Tahm Kench,0,3,4
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,T1,22:59,Rakan,2,2,1
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,T1,36:33,Tahm Kench,1,2,1
2023-06-15,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,34:09,Yuumi,0,0,6
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,32:14,Milio,1,0,6
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,27:58,Blitzcrank,0,3,2
2023-06-13,KR LCK CL 2023 Summer,13.11,Win,Blue,Liiv SANDBOX Youth,23:56,Lulu,0,1,17
2023-06-13,KR LCK CL 2023 Summer,13.11,Win,Blue,Liiv SANDBOX Youth,30:40,Lulu,0,2,10
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Blue,Kwangdong Freecs,30:39,Yuumi,0,2,5
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Red,Kwangdong Freecs,31:30,Yuumi,0,1,2
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Blue,Nongshim RedForce,29:34,Milio,0,4,0
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,Nongshim RedForce,35:37,Yuumi,0,2,1
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,32:05,Milio,1,0,9
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,28:48,Lulu,0,1,4
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,35:27,Karma,0,3,3
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Blue,Liiv SANDBOX,36:15,Nami,0,6,11
