Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,KT Rolster,31:07,Lee Sin,1,5,1
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,KT Rolster,30:46,Rell,0,3,2
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,30:48,Poppy,0,3,0
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Gen.G,31:59,Sejuani,0,7,6
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,30:06,Sejuani,2,1,4
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,28:30,Sejuani,0,3,3
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Red,DRX,43:36,Nocturne,4,8,18
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Red,DRX,30:33,Maokai,3,4,12
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,DRX,33:05,Maokai,1,2,15
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Dplus KIA,34:06,Maokai,1,3,13
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Dplus KIA,31:39,Sejuani,3,1,10
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,Gen.G,26:06,Viego,1,5,4
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,Gen.G,30:26,Wukong,1,6,7
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,DRX,23:47,Sejuani,2,0,11
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,DRX,41:05,Viego,4,3,13
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,27:10,Sejuani,0,1,6
2023-07-27,KR LCK 2023 Summer,13.13,Win,Blue,Nongshim RedForce,22:28,Nautilus,0,2,10
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,T1,36:30,Wukong,7,2,10
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,T1,24:39,Viego,8,0,1
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,34:10,Maokai,4,2,15
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,29:05,Maokai,4,0,4
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:08,Maokai,1,1,11
2023-07-15,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,32:35,Lee Sin,1,1,5
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,OKSavingsBank BRION,30:08,Sejuani,0,5,4
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,30:45,Viego,0,4,6
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,KT Rolster,30:11,Sejuani,2,0,10
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,26:13,Sejuani,0,5,3
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,44:35,Maokai,1,5,10
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,35:32,Sejuani,4,3,10
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,23:40,Maokai,2,0,9
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,24:26,Viego,6,1,4
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,28:39,Ivern,0,3,7
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,29:02,Viego,5,4,3
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,27:10,Maokai,1,3,3
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,32:56,Maokai,0,3,4
2023-06-26,KR LCK CL 2023 Summer,13.12,Win,Blue,Liiv SANDBOX Youth,33:42,Viego,4,2,7
2023-06-26,KR LCK CL 2023 Summer,13.12,Win,Red,Liiv SANDBOX Youth,46:45,Lee Sin,5,3,12
2023-06-23,KR LCK CL 2023 Summer,13.11,Win,Red,Kwangdong Freecs Challengers,26:33,Maokai,3,1,5
2023-06-23,KR LCK CL 2023 Summer,13.11,Win,Blue,Kwangdong Freecs Challengers,30:57,Maokai,1,0,6
2023-06-19,KR LCK CL 2023 Summer,13.11,Win,Blue,KT Rolster Challengers,29:10,Lee Sin,2,1,6
2023-06-19,KR LCK CL 2023 Summer,13.11,Win,Red,KT Rolster Challengers,30:03,Sejuani,3,1,11
2023-06-15,KR LCK CL 2023 Summer,13.11,Win,Red,DRX Challengers,36:59,Lee Sin,6,5,9
2023-06-15,KR LCK CL 2023 Summer,13.11,Loss,Blue,DRX Challengers,29:10,Viego,0,2,5
2023-06-15,KR LCK CL 2023 Summer,13.11,Win,Red,DRX Challengers,29:39,Viego,7,0,6
2023-06-12,KR LCK CL 2023 Summer,13.11,Win,Blue,T1 Esports Academy,30:23,Lee Sin,10,1,11
2023-06-12,KR LCK CL 2023 Summer,13.11,Win,Blue,T1 Esports Academy,34:51,Lee Sin,2,4,12
2023-03-10,KR LCK CL 2023 Spring,13.4,Win,Blue,Liiv SANDBOX Youth,35:29,Viego,8,3,14
2023-03-10,KR LCK CL 2023 Spring,13.4,Win,Blue,Liiv SANDBOX Youth,28:43,Viego,1,3,11
