Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Gen.G,29:34,Kai'Sa,2,3,0
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,30:11,Vayne,1,3,1
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Gen.G,22:57,Xayah,7,2,10
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Gen.G,29:41,Xayah,1,1,3
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,28:59,Xayah,3,3,2
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,KT Rolster,37:55,Kai'Sa,6,1,3
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,30:54,Samira,2,5,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Red,KT Rolster,32:11,Lucian,7,1,7
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,KT Rolster,26:07,Draven,8,1,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,24:45,Sivir,0,3,1
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Dplus KIA,35:42,Xayah,1,1,4
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Dplus KIA,36:05,Xayah,6,1,6
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Dplus KIA,32:44,Xayah,0,4,2
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Dplus KIA,30:28,Xayah,7,0,2
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,31:45,Xayah,10,0,7
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:01,Xayah,5,1,5
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,23:43,Kai'Sa,8,0,5
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,23:40,Zeri,6,0,4
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,26:41,Kai'Sa,3,4,2
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Red,KT Rolster,27:27,Varus,0,4,2
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,DRX,35:44,Zeri,2,2,2
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,DRX,31:08,Ezreal,4,2,2
2023-07-27,KR LCK 2023 Summer,13.13,Win,Blue,DRX,28:34,Kai'Sa,3,0,4
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,30:44,Kai'Sa,1,2,1
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,31:38,Kai'Sa,6,1,6
