Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Gen.G,31:49,Kog'Maw,2,1,10
2023-08-05,KR LCK 2023 Summer,13.14,Win,Blue,Gen.G,28:01,Xayah,4,0,4
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,25:42,Aphelios,1,2,1
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Red,DRX,33:10,Xayah,1,5,4
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Nongshim RedForce,34:37,Kai'Sa,3,3,3
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Nongshim RedForce,32:30,Xayah,2,2,1
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,38:33,Xayah,7,1,5
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,32:10,Kai'Sa,1,1,1
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,31:31,Varus,3,4,4
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,T1,30:44,Xayah,1,1,4
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,T1,31:38,Aphelios,0,3,3
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,T1,41:15,Aphelios,3,0,5
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,33:27,Zeri,3,2,2
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:52,Aphelios,2,4,0
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,Dplus KIA,27:55,Xayah,2,0,8
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,33:08,Kai'Sa,3,2,1
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,32:35,Aphelios,1,1,2
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,30:08,Kai'Sa,8,1,6
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:03,Kai'Sa,8,0,5
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,34:18,Kalista,2,6,4
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,34:16,Tristana,4,0,6
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:52,Xayah,2,3,2
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,29:12,Aphelios,1,4,2
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,32:38,Aphelios,3,2,1
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,30:38,Aphelios,1,3,2
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,32:55,Aphelios,4,0,3
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,DRX,28:56,Aphelios,1,1,1
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,34:13,Aphelios,11,0,5
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:03,Kalista,6,2,2
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,45:16,Aphelios,6,2,2
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,28:31,Aphelios,2,2,3
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,30:06,Varus,7,3,2
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,31:07,Xayah,2,2,2
