Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-03,KR LCK CL 2023 Summer,13.14,Win,Red,Gen.G Global Academy,28:12,Azir,3,0,5
2023-08-03,KR LCK CL 2023 Summer,13.14,Win,Red,Gen.G Global Academy,33:59,LeBlanc,6,1,10
2023-08-01,KR LCK CL 2023 Summer,13.14,Loss,Red,KT Rolster Challengers,37:17,Lissandra,4,4,4
2023-08-01,KR LCK CL 2023 Summer,13.14,Loss,Red,KT Rolster Challengers,35:29,Azir,0,3,4
2023-07-28,KR LCK CL 2023 Summer,13.13,Loss,Blue,DRX Challengers,30:50,Jayce,3,3,0
2023-07-28,KR LCK CL 2023 Summer,13.13,Loss,Blue,DRX Challengers,26:41,Jayce,2,2,2
2023-07-24,KR LCK CL 2023 Summer,13.13,Win,Blue,Liiv SANDBOX Youth,35:41,Jayce,7,3,9
2023-07-24,KR LCK CL 2023 Summer,13.13,Loss,Red,Liiv SANDBOX Youth,43:36,Azir,3,2,8
2023-07-24,KR LCK CL 2023 Summer,13.13,Win,Red,Liiv SANDBOX Youth,33:03,Azir,5,2,6
2023-07-20,KR LCK CL 2023 Summer,13.12,Loss,Red,T1 Esports Academy,33:29,Azir,0,3,1
2023-07-20,KR LCK CL 2023 Summer,13.12,Win,Red,T1 Esports Academy,29:32,Tristana,6,2,10
2023-07-20,KR LCK CL 2023 Summer,13.12,Loss,Red,T1 Esports Academy,29:42,Azir,4,2,1
2023-07-17,KR LCK CL 2023 Summer,13.12,Loss,Blue,Nongshim Esports Academy,30:26,Azir,1,3,2
2023-07-17,KR LCK CL 2023 Summer,13.12,Loss,Blue,Nongshim Esports Academy,25:10,Azir,1,3,1
2023-07-14,KR LCK CL 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports Challengers,21:59,Tristana,2,2,1
2023-07-14,KR LCK CL 2023 Summer,13.12,Loss,Red,Hanwha Life Esports Challengers,33:54,Azir,4,1,0
2023-07-11,KR LCK CL 2023 Summer,13.12,Loss,Blue,Dplus KIA Challengers,24:07,Neeko,1,4,1
2023-07-11,KR LCK CL 2023 Summer,13.12,Loss,Red,Dplus KIA Challengers,23:20,Neeko,0,3,1
2023-07-11,KR LCK CL 2023 Summer,13.12,Win,Blue,Dplus KIA Challengers,27:56,Azir,5,1,8
2023-07-07,KR LCK CL 2023 Summer,13.12,Win,Red,Kwangdong Freecs Challengers,30:13,Neeko,4,4,12
2023-07-07,KR LCK CL 2023 Summer,13.12,Loss,Blue,Kwangdong Freecs Challengers,29:33,LeBlanc,1,3,4
2023-07-07,KR LCK CL 2023 Summer,13.12,Win,Red,Kwangdong Freecs Challengers,27:08,Jayce,6,5,11
2023-07-03,KR LCK CL 2023 Summer,13.12,Win,Red,DRX Challengers,34:12,Jayce,7,1,5
2023-07-03,KR LCK CL 2023 Summer,13.12,Win,Red,DRX Challengers,24:08,Azir,4,0,9
2023-07-03,KR LCK CL 2023 Summer,13.12,Loss,Red,DRX Challengers,38:31,Azir,3,2,9
2023-06-29,KR LCK CL 2023 Summer,13.12,Loss,Red,Dplus KIA Challengers,26:35,Tristana,2,2,2
2023-06-29,KR LCK CL 2023 Summer,13.12,Loss,Red,Dplus KIA Challengers,33:00,Tristana,5,4,4
