Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,29:22,Kha'Zix,1,2,0
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,32:54,Ivern,0,1,2
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,24:56,Maokai,0,6,5
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,25:33,Viego,1,2,0
2023-07-05,KR LCK 2023 Summer,13.12,Win,Red,T1,32:30,Nocturne,2,2,9
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,T1,31:20,Sejuani,3,0,12
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,32:55,Sejuani,0,3,0
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,28:56,Sejuani,1,0,10
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,34:13,Sejuani,1,5,2
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,40:05,Ivern,0,4,16
2023-06-29,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,29:03,Maokai,1,0,6
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,41:04,Sejuani,3,6,10
2023-06-25,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,36:37,Wukong,4,2,6
2023-06-25,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,33:46,Sejuani,2,3,13
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Red,Nongshim RedForce,28:28,Sejuani,0,2,4
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,27:34,Wukong,0,5,1
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,22:53,Viego,0,1,0
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,25:45,Kindred,4,7,0
2023-03-19,KR LCK 2023 Spring,13.5,Loss,Red,KT Rolster,26:11,Sejuani,0,2,2
2023-03-19,KR LCK 2023 Spring,13.5,Loss,Red,KT Rolster,27:12,Wukong,1,5,1
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Red,Kwangdong Freecs,31:39,Wukong,0,3,3
2023-03-15,KR LCK 2023 Spring,13.5,Win,Red,Kwangdong Freecs,31:58,Lee Sin,5,1,6
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Red,Kwangdong Freecs,40:28,Lee Sin,3,3,2
2023-03-11,KR LCK 2023 Spring,13.4,Loss,Blue,Liiv SANDBOX,26:56,Vi,0,6,3
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,Liiv SANDBOX,32:04,Wukong,0,1,2
2023-03-04,KR LCK 2023 Spring,13.4,Win,Blue,Nongshim RedForce,27:19,Lee Sin,4,3,6
2023-03-04,KR LCK 2023 Spring,13.4,Loss,Red,Nongshim RedForce,37:02,Sejuani,0,4,2
2023-03-04,KR LCK 2023 Spring,13.4,Win,Red,Nongshim RedForce,32:41,Sejuani,1,2,8
2023-03-01,KR LCK 2023 Spring,13.4,Loss,Red,Dplus KIA,25:30,Lee Sin,2,4,2
2023-03-01,KR LCK 2023 Spring,13.4,Loss,Blue,Dplus KIA,27:07,Viego,0,4,4
2023-02-26,KR LCK 2023 Spring,13.3,Win,Red,BRION,46:29,Sejuani,1,2,16
2023-02-26,KR LCK 2023 Spring,13.3,Win,Blue,BRION,33:03,Sejuani,0,1,11
2023-02-17,KR LCK 2023 Spring,13.3,Loss,Blue,Hanwha Life Esports,30:56,Sejuani,0,5,4
