Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Gen.G,31:49,Jayce,4,0,8
2023-08-05,KR LCK 2023 Summer,13.14,Win,Blue,Gen.G,28:01,Tristana,5,0,3
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,25:42,Tristana,2,4,3
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Red,DRX,33:10,Annie,2,4,2
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Nongshim RedForce,34:37,Jayce,4,1,2
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Nongshim RedForce,32:30,Neeko,0,3,3
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,38:33,Neeko,2,4,7
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,32:10,Neeko,2,1,1
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,31:31,Azir,1,6,7
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,T1,30:44,Azir,5,0,3
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,T1,31:38,Jayce,0,3,4
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,T1,41:15,Azir,7,1,4
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,33:27,Tristana,1,1,2
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:52,Azir,0,3,0
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,Dplus KIA,27:55,Tristana,6,0,7
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,33:08,Veigar,3,2,2
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,32:35,Azir,1,2,1
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,30:08,Azir,3,1,10
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:03,Tristana,2,1,8
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,34:18,Azir,5,3,4
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,34:16,Azir,3,1,6
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:52,Akali,1,3,2
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,29:12,Jayce,1,2,4
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,32:38,Azir,1,2,0
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,30:38,Ahri,1,3,4
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,32:55,Veigar,3,0,2
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,DRX,28:56,Ahri,2,2,2
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,34:13,Azir,5,0,13
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:03,Ahri,1,1,6
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,45:16,Azir,3,1,6
2023-06-26,KR LCK CL 2023 Summer,13.12,Loss,Red,Kwangdong Freecs Challengers,29:03,Ahri,3,2,1
2023-06-26,KR LCK CL 2023 Summer,13.12,Loss,Red,Kwangdong Freecs Challengers,37:22,Jayce,5,4,10
2023-06-22,KR LCK CL 2023 Summer,13.11,Win,Blue,Nongshim Esports Academy,24:55,Jayce,11,1,5
2023-06-22,KR LCK CL 2023 Summer,13.11,Win,Blue,Nongshim Esports Academy,26:18,LeBlanc,5,0,4
2023-06-19,KR LCK CL 2023 Summer,13.11,Loss,Blue,Gen.G Global Academy,34:53,Ahri,0,2,2
2023-06-19,KR LCK CL 2023 Summer,13.11,Loss,Red,Gen.G Global Academy,39:50,Annie,2,3,4
2023-06-19,KR LCK CL 2023 Summer,13.11,Win,Blue,Gen.G Global Academy,33:36,Annie,3,0,8
2023-06-15,KR LCK CL 2023 Summer,13.11,Loss,Red,KT Rolster Challengers,33:25,Annie,3,1,2
2023-06-15,KR LCK CL 2023 Summer,13.11,Loss,Blue,KT Rolster Challengers,31:18,Jayce,2,2,0
2023-06-13,KR LCK CL 2023 Summer,13.11,Win,Blue,Liiv SANDBOX Youth,23:56,Ahri,8,0,6
2023-06-13,KR LCK CL 2023 Summer,13.11,Win,Blue,Liiv SANDBOX Youth,30:40,Ahri,4,0,4
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Blue,Kwangdong Freecs,30:39,Azir,0,2,3
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Red,Kwangdong Freecs,31:30,Annie,0,1,2
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Blue,Nongshim RedForce,29:34,Azir,0,3,3
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,Nongshim RedForce,35:37,Syndra,1,2,0
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,32:05,Syndra,3,0,6
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,28:48,Sylas,0,2,3
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,35:27,Veigar,0,2,4
