Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,35:42,Lulu,0,1,1
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,36:05,Rakan,0,1,8
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,32:44,Rakan,0,0,10
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,30:28,Rakan,1,1,3
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,40:01,Rell,1,5,10
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,33:02,Heimerdinger,1,3,4
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,27:32,Nautilus,1,1,6
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,28:41,Nautilus,0,2,13
2023-07-20,KR LCK CL 2023 Summer,13.12,Loss,Red,Hanwha Life Esports Challengers,29:10,Nautilus,1,5,2
2023-07-20,KR LCK CL 2023 Summer,13.12,Win,Blue,Hanwha Life Esports Challengers,48:21,Milio,0,5,13
2023-07-20,KR LCK CL 2023 Summer,13.12,Loss,Red,Hanwha Life Esports Challengers,37:47,Milio,0,2,5
2023-07-17,KR LCK CL 2023 Summer,13.12,Loss,Red,T1 Esports Academy,37:36,Rell,2,4,12
2023-07-17,KR LCK CL 2023 Summer,13.12,Win,Blue,T1 Esports Academy,29:01,Braum,0,1,14
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,DRX,24:56,Rell,0,3,21
2023-07-07,KR LCK 2023 Summer,13.12,Win,Blue,DRX,25:33,Milio,0,1,13
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:01,Milio,1,2,21
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:06,Braum,0,1,12
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Blue,T1,30:11,Rell,1,5,10
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Red,T1,27:35,Rakan,1,5,2
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,27:10,Braum,3,2,12
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,32:56,Ashe,0,1,12
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,24:38,Tahm Kench,0,2,1
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Gen.G,31:06,Yuumi,0,0,7
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,30:15,Yuumi,0,1,3
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,22:35,Milio,0,3,3
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Red,KT Rolster,37:02,Nami,2,1,7
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,31:18,Yuumi,1,0,8
2023-06-18,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,29:12,Leona,1,2,10
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,34:09,Milio,0,1,2
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,OKSavingsBank BRION,32:14,Yuumi,0,2,3
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,27:58,Lulu,0,0,9
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,DRX,41:09,Lulu,2,2,17
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,DRX,34:27,Yuumi,1,1,12
2023-06-11,KR LCK 2023 Summer,13.10,Win,Red,DRX,21:45,Pyke,2,1,4
2023-06-07,KR LCK 2023 Summer,13.10,Win,Red,Liiv SANDBOX,29:25,Nami,1,2,20
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Liiv SANDBOX,29:39,Milio,0,0,10
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,31:20,Heimerdinger,0,3,5
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Red,Hanwha Life Esports,32:40,Lulu,0,1,10
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Win,Blue,Hanwha Life Esports,29:46,Sona,0,1,5
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,30:30,Karma,0,4,4
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Gen.G,37:52,Ashe,1,3,15
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Gen.G,26:45,Renata Glasc,0,3,1
2023-03-16,KR LCK 2023 Spring,13.5,Loss,Blue,T1,35:40,Karma,2,2,4
2023-03-16,KR LCK 2023 Spring,13.5,Loss,Blue,T1,26:17,Rakan,0,2,4
2023-03-12,KR LCK 2023 Spring,13.4,Win,Red,BRION,30:30,Renata Glasc,0,0,14
2023-03-12,KR LCK 2023 Spring,13.4,Win,Blue,BRION,26:14,Nami,0,1,13
2023-03-12,KR LCK 2023 Spring,13.4,Loss,Blue,BRION,37:59,Nami,0,1,6
2023-03-10,KR LCK 2023 Spring,13.4,Win,Red,Nongshim RedForce,25:42,Karma,0,1,18
2023-03-10,KR LCK 2023 Spring,13.4,Win,Blue,Nongshim RedForce,24:11,Heimerdinger,2,0,8
2023-03-04,KR LCK 2023 Spring,13.4,Win,Red,Hanwha Life Esports,29:19,Nami,0,0,13
