Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Gen.G,29:34,Rell,1,4,2
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,30:11,Braum,0,4,2
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Gen.G,22:57,Rakan,1,0,15
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Gen.G,29:41,Alistar,1,1,6
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,28:59,Alistar,1,5,6
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,KT Rolster,37:55,Rell,0,1,14
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,30:54,Alistar,0,6,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Red,KT Rolster,32:11,Alistar,1,1,16
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,KT Rolster,26:07,Nautilus,2,2,13
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,24:45,Rakan,0,2,4
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Dplus KIA,35:42,Rakan,0,0,9
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Dplus KIA,36:05,Maokai,2,4,9
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Dplus KIA,32:44,Braum,0,3,2
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Dplus KIA,30:28,Alistar,0,1,12
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,31:45,Rakan,0,0,19
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:01,Braum,2,1,9
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,23:43,Alistar,0,1,14
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,23:40,Rakan,1,0,9
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,26:41,Nautilus,0,6,4
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Red,KT Rolster,27:27,Braum,0,3,2
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,DRX,35:44,Alistar,0,3,1
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,DRX,31:08,Leona,2,5,4
2023-07-27,KR LCK 2023 Summer,13.13,Win,Blue,DRX,28:34,Nautilus,0,0,6
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,30:44,Blitzcrank,0,2,1
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,31:38,Rell,0,1,15
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Blue,OKSavingsBank BRION,41:15,Thresh,0,0,6
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,36:30,Galio,0,5,10
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,24:39,Rell,0,3,0
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,41:11,Rakan,2,5,13
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,43:04,Rakan,1,3,7
2023-07-14,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,28:00,Rakan,5,2,13
2023-07-14,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,38:01,Alistar,1,0,13
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,29:08,Nautilus,0,3,4
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,26:47,Renata Glasc,0,5,0
2023-07-05,KR LCK 2023 Summer,13.12,Loss,Blue,DRX,32:30,Rell,0,3,3
2023-07-05,KR LCK 2023 Summer,13.12,Loss,Red,DRX,31:20,Alistar,0,5,1
2023-07-02,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,28:13,Rell,1,3,12
2023-07-02,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,26:51,Rell,1,4,10
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Blue,Nongshim RedForce,34:29,Braum,0,6,8
2023-06-30,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,30:11,Alistar,2,2,15
2023-06-30,KR LCK 2023 Summer,13.12,Win,Blue,Dplus KIA,27:35,Rell,0,2,12
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,26:31,Rakan,0,4,5
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,30:35,Nautilus,0,3,2
2023-06-21,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,27:32,Milio,1,1,13
2023-06-21,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,30:60,Milio,0,1,16
2023-06-17,KR LCK 2023 Summer,13.11,Win,Red,OKSavingsBank BRION,22:59,Lulu,0,0,12
2023-06-17,KR LCK 2023 Summer,13.11,Win,Red,OKSavingsBank BRION,36:33,Rakan,0,1,9
2023-06-15,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,26:47,Yuumi,2,1,11
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,Liiv SANDBOX,39:19,Yuumi,1,1,13
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,Gen.G,32:23,Blitzcrank,0,5,7
