Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:07,K'Sante,2,1,3
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,30:46,Poppy,1,0,6
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:48,Ornn,1,0,10
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,37:55,Renekton,3,6,0
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:54,Renekton,5,2,11
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,32:11,Jax,3,4,1
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,26:07,Renekton,1,7,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,24:45,Gragas,5,1,7
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:19,Gangplank,2,1,8
2023-08-04,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,28:35,Malphite,2,2,11
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,27:48,Fiora,3,0,9
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,Nongshim RedForce,33:18,Aatrox,1,3,1
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,T1,26:41,Renekton,3,2,5
2023-07-29,KR LCK 2023 Summer,13.13,Win,Blue,T1,27:27,Renekton,3,2,3
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,29:59,Jax,1,3,4
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,26:14,Rumble,3,1,8
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,26:08,Renekton,0,1,7
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,27:25,Jax,2,2,5
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,35:50,Renekton,7,0,2
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,31:07,Renekton,2,3,7
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,30:01,Quinn,6,2,5
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,DRX,34:47,Rumble,6,3,8
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,26:52,K'Sante,1,1,14
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,30:45,Renekton,2,1,2
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,30:11,Jax,3,3,1
2023-07-13,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,26:13,Jax,4,0,8
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:52,Renekton,4,2,8
2023-07-09,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,29:12,Renekton,1,1,9
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,32:38,Renekton,2,1,3
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,30:38,Jax,4,0,5
2023-06-30,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,30:42,Fiora,2,0,12
2023-06-30,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,28:24,Jax,5,0,6
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,26:03,K'Sante,2,0,5
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,35:59,Renekton,4,3,9
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,26:31,Malphite,3,0,14
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,30:35,Gragas,1,0,12
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,22:35,Renekton,3,1,8
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,37:02,Quinn,3,1,3
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,23:51,Renekton,1,0,5
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,39:07,Renekton,0,2,5
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,25:45,Renekton,5,1,6
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,22:45,Renekton,5,0,10
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Blue,Gen.G,28:20,Renekton,0,3,0
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,Gen.G,24:05,Ornn,1,4,0
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,Gen.G,24:02,Jax,8,2,5
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,26:45,Sion,3,1,1
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Hanwha Life Esports,29:32,Kayle,1,3,3
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,31:34,Malphite,2,1,9
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,28:37,Jax,0,4,1
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,35:52,Renekton,3,2,0
