Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,KT Rolster,31:07,Aatrox,1,5,1
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,KT Rolster,30:46,Renekton,0,2,2
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,30:48,Renekton,0,4,0
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Gen.G,31:59,Aatrox,0,2,5
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,30:06,Aatrox,1,1,4
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,28:30,Ornn,0,2,0
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Red,DRX,43:36,Poppy,4,1,13
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Red,DRX,30:33,Aatrox,9,2,11
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,DRX,33:05,Renekton,3,2,12
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Dplus KIA,34:06,Renekton,4,2,9
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Dplus KIA,31:39,Aatrox,4,1,5
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,Gen.G,26:06,Aatrox,2,6,4
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,Gen.G,30:26,K'Sante,2,5,7
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,DRX,23:47,Renekton,1,2,4
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,DRX,41:05,Renekton,3,2,8
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,27:10,Ornn,1,0,6
2023-07-27,KR LCK 2023 Summer,13.13,Win,Blue,Nongshim RedForce,22:28,Gwen,5,0,3
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,T1,36:30,Renekton,7,2,6
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,T1,24:39,Rumble,1,1,13
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,34:10,K'Sante,2,1,12
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,29:05,Renekton,2,0,4
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:08,Renekton,3,3,3
2023-07-15,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,32:35,Renekton,1,0,6
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,OKSavingsBank BRION,30:08,Jax,2,3,0
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,30:45,Gnar,0,2,3
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,KT Rolster,30:11,Poppy,0,0,4
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,26:13,Kennen,0,4,0
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,44:35,Gragas,4,0,4
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,35:32,Jax,1,3,11
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,23:40,Renekton,1,3,5
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,24:26,Renekton,3,0,5
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,28:39,Jax,4,3,2
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,29:02,K'Sante,1,2,2
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,27:10,Jax,1,5,3
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,32:56,Jax,2,2,0
2023-06-25,KR LCK 2023 Summer,13.11,Win,Red,OKSavingsBank BRION,28:31,Gnar,0,1,7
2023-06-25,KR LCK 2023 Summer,13.11,Win,Red,OKSavingsBank BRION,30:06,Renekton,2,2,6
2023-06-23,KR LCK 2023 Summer,13.11,Win,Blue,Liiv SANDBOX,40:56,Gragas,1,4,9
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Blue,Liiv SANDBOX,29:40,Malphite,0,5,3
2023-06-23,KR LCK 2023 Summer,13.11,Win,Blue,Liiv SANDBOX,30:59,Renekton,3,1,5
2023-06-17,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,44:58,Gnar,1,4,6
2023-06-17,KR LCK 2023 Summer,13.11,Win,Blue,Kwangdong Freecs,32:20,Gragas,0,0,5
2023-06-14,KR LCK 2023 Summer,13.11,Win,Red,DRX,25:18,Renekton,2,0,4
2023-06-14,KR LCK 2023 Summer,13.11,Win,Blue,DRX,22:48,Gragas,2,0,6
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,T1,30:01,Ornn,1,1,1
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,T1,25:18,Sion,0,0,2
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,T1,44:08,Sion,0,1,10
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,26:45,K'Sante,1,1,1
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,KT Rolster,29:32,Gwen,1,1,10
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,31:34,K'Sante,0,3,4
