Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:07,Alistar,1,1,5
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,30:46,Renata Glasc,0,0,11
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:48,Rakan,1,0,13
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,37:55,Leona,1,4,6
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:54,Nautilus,0,2,18
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,32:11,Galio,0,5,5
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,26:07,Leona,0,3,4
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,24:45,Nautilus,0,0,11
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:19,Alistar,2,3,11
2023-08-04,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,28:35,Nautilus,0,5,12
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,27:48,Nautilus,0,2,10
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,Nongshim RedForce,33:18,Lulu,0,2,9
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,T1,26:41,Alistar,1,1,13
2023-07-29,KR LCK 2023 Summer,13.13,Win,Blue,T1,27:27,Nautilus,1,1,12
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,29:59,Lulu,0,0,13
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Kwangdong Freecs,26:14,Maokai,1,3,15
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,26:08,Alistar,0,3,14
2023-07-22,KR LCK 2023 Summer,13.12,Win,Red,Gen.G,27:25,Lulu,3,0,9
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,35:50,Nautilus,2,3,9
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Dplus KIA,31:07,Alistar,0,3,16
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,30:01,Nautilus,0,3,11
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,DRX,34:47,Nautilus,2,6,11
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,DRX,26:52,Rakan,0,6,15
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,30:45,Leona,0,2,9
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,30:11,Alistar,1,4,5
2023-07-13,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,26:13,Renata Glasc,0,1,14
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:52,Nautilus,0,2,12
2023-07-09,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,29:12,Alistar,0,1,10
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,32:38,Nautilus,0,1,8
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,30:38,Rakan,0,2,8
2023-06-30,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,30:42,Alistar,0,2,12
2023-06-30,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,28:24,Rakan,0,3,8
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,26:03,Nautilus,0,0,8
2023-06-28,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,35:59,Alistar,0,1,11
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,26:31,Lulu,0,2,21
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,T1,30:35,Alistar,1,1,7
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,22:35,Nautilus,1,2,10
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,37:02,Rakan,0,3,6
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,23:51,Nautilus,0,0,7
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,39:07,Rakan,0,2,9
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,25:45,Nautilus,1,0,8
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,DRX,22:45,Renata Glasc,1,1,15
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Blue,Gen.G,28:20,Lulu,0,3,0
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,Gen.G,24:05,Yuumi,0,2,2
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,Gen.G,24:02,Nautilus,0,0,15
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,26:45,Yuumi,0,0,9
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Hanwha Life Esports,29:32,Milio,3,4,2
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Hanwha Life Esports,31:34,Yuumi,1,1,8
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,28:37,Nautilus,0,4,1
2023-04-08,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Gen.G,35:52,Karma,1,4,4
