Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,KT Rolster,31:07,Rakan,0,1,3
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,KT Rolster,30:46,Amumu,0,5,2
2023-08-13,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,30:48,Leona,0,6,1
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Gen.G,31:59,Rakan,1,4,7
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,30:06,Blitzcrank,0,3,4
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,28:30,Rakan,0,1,3
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Red,DRX,43:36,Rell,2,3,24
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Red,DRX,30:33,Rell,0,3,14
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,DRX,33:05,Nautilus,4,2,14
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Dplus KIA,34:06,Rell,1,3,15
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Dplus KIA,31:39,Alistar,0,3,11
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,Gen.G,26:06,Rakan,1,4,7
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,Gen.G,30:26,Rell,1,4,8
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,DRX,23:47,Maokai,3,0,11
2023-07-29,KR LCK 2023 Summer,13.13,Win,Red,DRX,41:05,Nautilus,2,4,14
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,27:10,Rell,2,1,6
2023-07-27,KR LCK 2023 Summer,13.13,Win,Blue,Nongshim RedForce,22:28,Rell,1,1,13
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,T1,36:30,Rakan,0,3,20
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,T1,24:39,Rakan,0,1,13
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,34:10,Nautilus,3,3,8
2023-07-19,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,29:05,Rell,0,1,9
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:08,Rakan,0,1,11
2023-07-15,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,32:35,Rell,0,0,7
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,OKSavingsBank BRION,30:08,Rell,0,3,3
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,30:45,Nautilus,0,4,3
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,KT Rolster,30:11,Rell,1,3,11
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,26:13,Alistar,1,4,3
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,44:35,Nautilus,0,5,8
2023-07-09,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,35:32,Rell,1,5,18
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,23:40,Nautilus,1,1,12
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,24:26,Nautilus,1,1,10
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,28:39,Rell,0,5,4
2023-07-02,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,29:02,Nautilus,0,6,7
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,27:10,Nautilus,0,5,5
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,32:56,Yuumi,0,3,4
2023-06-25,KR LCK 2023 Summer,13.11,Win,Red,OKSavingsBank BRION,28:31,Milio,0,1,8
2023-06-25,KR LCK 2023 Summer,13.11,Win,Red,OKSavingsBank BRION,30:06,Blitzcrank,0,3,12
2023-06-23,KR LCK 2023 Summer,13.11,Win,Blue,Liiv SANDBOX,40:56,Blitzcrank,3,4,13
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Blue,Liiv SANDBOX,29:40,Tahm Kench,0,4,1
2023-06-23,KR LCK 2023 Summer,13.11,Win,Blue,Liiv SANDBOX,30:59,Renata Glasc,0,2,19
2023-06-17,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,44:58,Milio,0,2,10
2023-06-17,KR LCK 2023 Summer,13.11,Win,Blue,Kwangdong Freecs,32:20,Yuumi,1,0,6
2023-06-14,KR LCK 2023 Summer,13.11,Win,Red,DRX,25:18,Nautilus,1,2,8
2023-06-14,KR LCK 2023 Summer,13.11,Win,Blue,DRX,22:48,Blitzcrank,4,0,6
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,T1,30:01,Yuumi,0,1,2
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,T1,25:18,Yuumi,0,1,2
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,T1,44:08,Lulu,0,1,12
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,26:45,Milio,0,3,1
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,KT Rolster,29:32,Blitzcrank,3,3,11
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,31:34,Rakan,0,4,5
