Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Gen.G,31:49,Renekton,5,4,8
2023-08-05,KR LCK 2023 Summer,13.14,Win,Blue,Gen.G,28:01,Renekton,2,0,4
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,25:42,K'Sante,0,2,0
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Red,DRX,33:10,Renekton,3,4,2
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Nongshim RedForce,34:37,Renekton,1,3,1
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Nongshim RedForce,32:30,Jax,0,3,1
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,38:33,Renekton,4,2,6
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,32:10,Gwen,0,2,2
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,31:31,K'Sante,5,3,5
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,T1,30:44,K'Sante,4,1,5
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,T1,31:38,Renekton,4,3,0
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,T1,41:15,Gragas,0,3,10
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,33:27,Renekton,0,5,1
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:52,Gragas,0,1,0
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,Dplus KIA,27:55,K'Sante,6,0,4
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,33:08,Jax,0,2,2
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,32:35,K'Sante,1,1,1
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,30:08,Gragas,3,1,8
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:03,Renekton,2,1,12
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,34:18,Jax,4,4,2
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,34:16,Jax,3,0,1
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:52,Jax,5,3,1
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,29:12,Jax,4,1,1
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,32:38,K'Sante,0,1,2
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,30:38,K'Sante,1,2,2
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,32:55,K'Sante,0,0,4
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,DRX,28:56,Renekton,1,4,1
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,34:13,Gragas,3,1,5
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:03,Renekton,3,3,2
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,45:16,Gwen,1,7,2
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,28:31,Camille,1,3,1
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,30:06,Gragas,0,3,4
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,31:07,Gragas,0,0,2
2023-06-21,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,40:37,Gwen,5,2,5
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,34:29,K'Sante,2,3,3
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,T1,22:59,Gnar,0,5,1
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,T1,36:33,Jax,1,3,2
2023-06-15,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,34:09,Renekton,2,1,3
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,32:14,Jax,3,1,4
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,27:58,Renekton,1,3,0
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Blue,Kwangdong Freecs,30:39,Poppy,1,3,3
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Red,Kwangdong Freecs,31:30,Gragas,1,2,0
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Blue,Nongshim RedForce,29:34,Gragas,1,2,1
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,Nongshim RedForce,35:37,Gragas,0,3,1
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,32:05,Gragas,2,0,4
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,28:48,Renekton,0,5,4
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,35:27,Renekton,3,5,2
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Blue,Liiv SANDBOX,36:15,K'Sante,0,5,11
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Red,Liiv SANDBOX,29:34,Gnar,1,2,1
2023-03-12,KR LCK 2023 Spring,13.4,Loss,Blue,Dplus KIA,30:30,Renekton,3,4,0
