Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Gen.G,29:34,Poppy,0,3,2
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,30:11,Sejuani,0,3,4
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Gen.G,22:57,Sejuani,4,5,11
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Gen.G,29:41,Kha'Zix,4,3,1
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Gen.G,28:59,Rell,1,5,7
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,KT Rolster,37:55,Sejuani,1,2,12
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,30:54,Viego,2,3,3
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Red,KT Rolster,32:11,Maokai,2,0,14
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,KT Rolster,26:07,Nocturne,1,1,10
2023-08-10,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,KT Rolster,24:45,Sejuani,0,6,4
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Dplus KIA,35:42,Rell,1,0,8
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Dplus KIA,36:05,Poppy,0,1,11
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Dplus KIA,32:44,Maokai,2,2,0
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Dplus KIA,30:28,Maokai,1,2,7
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,31:45,Lee Sin,6,0,9
2023-08-04,KR LCK 2023 Summer,13.14,Win,Blue,Liiv SANDBOX,28:01,Maokai,0,0,9
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,23:43,Maokai,2,1,10
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,23:40,Maokai,1,0,10
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,26:41,Lillia,2,2,2
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Red,KT Rolster,27:27,Maokai,3,2,0
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,DRX,35:44,Vi,0,3,2
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,DRX,31:08,Maokai,2,4,6
2023-07-27,KR LCK 2023 Summer,13.13,Win,Blue,DRX,28:34,Rell,0,1,8
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,30:44,Maokai,0,3,2
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,31:38,Vi,2,2,11
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Blue,OKSavingsBank BRION,41:15,Sejuani,0,3,6
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,36:30,Vi,2,3,8
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,24:39,Poppy,0,4,2
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,41:11,Lee Sin,5,9,8
