Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Hanwha Life Esports,43:36,Xayah,3,6,5
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Hanwha Life Esports,30:33,Sivir,0,4,8
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Hanwha Life Esports,33:05,Xayah,3,3,3
2023-08-06,KR LCK 2023 Summer,13.14,Win,Red,Kwangdong Freecs,30:38,Xayah,7,0,4
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,28:05,Xayah,4,1,12
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,OKSavingsBank BRION,25:42,Zeri,6,0,3
2023-08-03,KR LCK 2023 Summer,13.14,Win,Blue,OKSavingsBank BRION,33:10,Kai'Sa,8,2,9
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,Hanwha Life Esports,23:47,Kai'Sa,2,3,1
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,Hanwha Life Esports,41:05,Kai'Sa,5,5,4
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,T1,35:44,Xayah,4,1,4
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,T1,31:08,Varus,7,2,6
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Red,T1,28:34,Xayah,2,2,1
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,29:22,Xayah,1,3,0
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,Liiv SANDBOX,27:33,Aphelios,0,5,2
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,31:17,Ashe,0,3,0
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,31:51,Kai'Sa,12,2,7
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Blue,Nongshim RedForce,33:04,Kai'Sa,2,2,5
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,30:01,Xayah,5,2,1
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,KT Rolster,34:47,Draven,7,4,7
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,26:52,Xayah,1,4,6
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,27:48,Xayah,0,2,2
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,32:54,Xayah,0,2,2
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,24:56,Varus,2,6,3
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,25:33,Aphelios,0,2,0
2023-07-05,KR LCK 2023 Summer,13.12,Win,Red,T1,32:30,Varus,5,1,7
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,T1,31:20,Xayah,3,0,4
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,32:55,Varus,0,0,0
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,28:56,Draven,5,1,3
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,34:13,Ziggs,1,3,1
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,40:05,Aphelios,3,3,16
2023-06-29,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,29:03,Ashe,3,0,5
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,41:04,Draven,3,4,8
2023-06-25,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,36:37,Zeri,9,1,3
2023-06-25,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,33:46,Zeri,10,0,3
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Red,Nongshim RedForce,28:28,Zeri,0,3,4
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,27:34,Draven,2,3,0
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,22:53,Draven,0,3,0
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,25:45,Aphelios,0,2,1
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,22:45,Aphelios,0,4,2
2023-06-14,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,25:18,Jinx,2,4,0
2023-06-14,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,22:48,Xayah,0,5,0
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,Dplus KIA,41:09,Varus,0,3,6
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,Dplus KIA,34:27,Zeri,5,1,5
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Blue,Dplus KIA,21:45,Aphelios,1,2,1
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Blue,Kwangdong Freecs,28:60,Aphelios,1,3,1
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,Kwangdong Freecs,42:49,Aphelios,8,6,6
2023-02-24,KR LCK CL 2023 Spring,13.3,Win,Red,Hanwha Life Esports Challengers,35:42,Varus,0,2,8
2023-02-24,KR LCK CL 2023 Spring,13.3,Win,Blue,Hanwha Life Esports Challengers,36:30,Caitlyn,11,3,10
2023-02-24,KR LCK CL 2023 Spring,13.3,Loss,Red,Hanwha Life Esports Challengers,38:39,Zeri,2,3,1
