Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Red,T1,29:34,Maokai,3,0,12
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:11,Maokai,1,0,14
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,22:57,Maokai,2,4,4
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,29:41,Vi,1,2,4
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,28:59,Sejuani,5,1,13
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:59,Poppy,2,2,11
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:06,Maokai,1,0,5
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,28:30,Maokai,0,0,9
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,OKSavingsBank BRION,31:49,Skarner,1,2,6
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Red,OKSavingsBank BRION,28:01,Rumble,0,1,2
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,Hanwha Life Esports,26:06,Maokai,1,1,10
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,Hanwha Life Esports,30:26,Maokai,2,2,9
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Dplus KIA,40:01,Poppy,2,3,17
2023-07-30,KR LCK 2023 Summer,13.13,Win,Blue,Dplus KIA,33:02,Vi,5,1,9
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Liiv SANDBOX,33:24,Rell,0,4,13
2023-07-26,KR LCK 2023 Summer,13.13,Win,Blue,Liiv SANDBOX,41:13,Maokai,1,0,9
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,26:08,Sejuani,1,3,4
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,27:25,Ivern,0,2,3
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:60,Maokai,1,1,11
2023-07-20,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,49:15,Kha'Zix,4,4,7
2023-07-14,KR LCK 2023 Summer,13.12,Win,Red,DRX,27:48,Vi,3,1,10
2023-07-14,KR LCK 2023 Summer,13.12,Win,Red,DRX,32:54,Kha'Zix,5,0,3
2023-07-12,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,23:40,Vi,13,1,12
2023-07-12,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,22:54,Maokai,4,0,7
2023-07-08,KR LCK 2023 Summer,13.12,Win,Blue,T1,29:08,Kha'Zix,3,1,5
2023-07-08,KR LCK 2023 Summer,13.12,Win,Red,T1,26:47,Vi,3,1,9
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,23:49,Vi,4,1,6
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,31:00,Poppy,2,1,11
2023-07-02,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,28:39,Sejuani,1,2,14
2023-07-02,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,29:02,Poppy,1,2,11
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:03,Ivern,1,2,9
2023-06-29,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,45:16,Ivern,4,3,9
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,24:38,Vi,4,0,3
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,31:06,Wukong,1,3,1
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,30:15,Kha'Zix,1,1,8
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,DRX,27:34,Maokai,3,0,9
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,DRX,22:53,Kha'Zix,2,0,0
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,28:35,Vi,3,1,6
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,28:10,Kha'Zix,3,1,2
2023-06-14,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,23:52,Kindred,6,0,1
2023-06-14,KR LCK 2023 Summer,13.11,Win,Blue,Kwangdong Freecs,36:03,Sejuani,2,4,7
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,T1,32:23,Maokai,1,1,13
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,T1,30:05,Wukong,3,4,2
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,T1,26:29,Kha'Zix,3,1,8
2023-06-09,KR LCK 2023 Summer,13.10,Win,Red,KT Rolster,28:20,Kindred,1,0,6
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,KT Rolster,24:05,Vi,3,0,8
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,24:02,Maokai,1,4,2
2023-05-19,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,35:31,Kindred,7,4,7
2023-05-19,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,41:39,Wukong,2,3,7
2023-05-19,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,27:32,Vi,2,4,1
