Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Red,T1,29:34,Aphelios,7,1,9
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,30:11,Zeri,7,1,7
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,22:57,Zeri,2,4,3
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,29:41,Zeri,3,2,2
2023-08-12,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,28:59,Aphelios,7,1,5
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Red,Hanwha Life Esports,31:59,Kai'Sa,3,3,4
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,30:06,Xayah,1,1,5
2023-08-11,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,Hanwha Life Esports,28:30,Sivir,1,1,6
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,OKSavingsBank BRION,31:49,Kai'Sa,3,3,4
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Red,OKSavingsBank BRION,28:01,Kai'Sa,1,2,2
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,Hanwha Life Esports,26:06,Kai'Sa,12,1,4
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,Hanwha Life Esports,30:26,Xayah,4,2,12
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Dplus KIA,40:01,Varus,11,4,4
2023-07-30,KR LCK 2023 Summer,13.13,Win,Blue,Dplus KIA,33:02,Sivir,5,1,10
2023-07-26,KR LCK 2023 Summer,13.13,Win,Red,Liiv SANDBOX,33:24,Zeri,15,2,7
2023-07-26,KR LCK 2023 Summer,13.13,Win,Blue,Liiv SANDBOX,41:13,Samira,4,1,5
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,26:08,Aphelios,4,3,0
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,27:25,Xayah,0,2,4
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:60,Aphelios,7,2,2
2023-07-20,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,49:15,Kai'Sa,14,1,4
2023-07-14,KR LCK 2023 Summer,13.12,Win,Red,DRX,27:48,Aphelios,7,3,6
2023-07-14,KR LCK 2023 Summer,13.12,Win,Red,DRX,32:54,Kai'Sa,4,0,2
2023-07-12,KR LCK 2023 Summer,13.12,Win,Red,Nongshim RedForce,23:40,Kai'Sa,5,2,10
2023-07-12,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,22:54,Kai'Sa,7,0,1
2023-07-08,KR LCK 2023 Summer,13.12,Win,Blue,T1,29:08,Xayah,4,1,4
2023-07-08,KR LCK 2023 Summer,13.12,Win,Red,T1,26:47,Kai'Sa,8,0,5
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,23:49,Kai'Sa,8,2,3
2023-07-06,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,31:00,Kai'Sa,12,2,5
2023-07-02,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,28:39,Aphelios,9,1,6
2023-07-02,KR LCK 2023 Summer,13.12,Win,Blue,Hanwha Life Esports,29:02,Xayah,11,2,8
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,31:03,Ashe,5,4,5
2023-06-29,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,45:16,Kai'Sa,8,2,1
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,24:38,Zeri,4,0,5
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,31:06,Tristana,2,1,1
2023-06-24,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,30:15,Tristana,5,1,3
2023-06-22,KR LCK 2023 Summer,13.11,Win,Red,DRX,27:34,Aphelios,4,1,6
2023-06-22,KR LCK 2023 Summer,13.11,Win,Blue,DRX,22:53,Aphelios,3,0,6
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,28:35,Xayah,1,0,4
2023-06-16,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,28:10,Aphelios,5,1,3
2023-06-14,KR LCK 2023 Summer,13.11,Win,Red,Kwangdong Freecs,23:52,Aphelios,5,0,5
2023-06-14,KR LCK 2023 Summer,13.11,Win,Blue,Kwangdong Freecs,36:03,Aphelios,9,3,4
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,T1,32:23,Zeri,11,1,3
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,T1,30:05,Draven,0,2,3
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,T1,26:29,Lucian,5,3,4
2023-06-09,KR LCK 2023 Summer,13.10,Win,Red,KT Rolster,28:20,Twitch,6,0,3
2023-06-09,KR LCK 2023 Summer,13.10,Win,Blue,KT Rolster,24:05,Draven,5,0,3
2023-06-09,KR LCK 2023 Summer,13.10,Loss,Red,KT Rolster,24:02,Draven,1,3,1
2023-05-19,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,35:31,Aphelios,7,4,7
2023-05-19,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,41:39,Aphelios,4,3,5
2023-05-19,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,27:32,Xayah,1,3,5
