Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Blue,Hanwha Life Esports,27:10,Azir,0,4,3
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,DRX,31:17,Azir,4,0,3
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Kwangdong Freecs,32:11,Tristana,0,5,0
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,Dplus KIA,31:18,Cassiopeia,0,1,3
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,29:12,Azir,2,2,1
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,28:35,Ahri,0,3,3
2023-06-16,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,28:10,Azir,1,3,4
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Blue,Liiv SANDBOX,28:10,Cassiopeia,2,5,4
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Red,Liiv SANDBOX,27:12,Annie,0,2,1
2023-06-08,KR LCK 2023 Summer,13.10,Win,Red,OKSavingsBank BRION,29:34,Cassiopeia,2,2,4
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,OKSavingsBank BRION,35:37,Annie,2,0,5
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,OKSavingsBank BRION,32:05,Cassiopeia,0,1,0
