Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Hanwha Life Esports,43:36,K'Sante,2,6,6
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,Hanwha Life Esports,30:33,Jax,4,6,6
2023-08-08,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,Hanwha Life Esports,33:05,Rumble,2,3,4
2023-08-06,KR LCK 2023 Summer,13.14,Win,Red,Kwangdong Freecs,30:38,Renekton,1,1,8
2023-08-06,KR LCK 2023 Summer,13.14,Win,Blue,Kwangdong Freecs,28:05,Renekton,5,0,8
2023-08-03,KR LCK 2023 Summer,13.14,Win,Red,OKSavingsBank BRION,25:42,Renekton,2,1,4
2023-08-03,KR LCK 2023 Summer,13.14,Win,Blue,OKSavingsBank BRION,33:10,Jax,2,2,10
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,Hanwha Life Esports,23:47,K'Sante,1,3,1
2023-07-29,KR LCK 2023 Summer,13.13,Loss,Blue,Hanwha Life Esports,41:05,K'Sante,4,3,5
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,T1,35:44,K'Sante,1,0,4
2023-07-27,KR LCK 2023 Summer,13.13,Win,Red,T1,31:08,K'Sante,5,0,7
2023-07-27,KR LCK 2023 Summer,13.13,Loss,Red,T1,28:34,Renekton,2,3,1
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,29:22,Gragas,0,4,0
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,Liiv SANDBOX,27:33,Rumble,3,7,1
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,31:17,Poppy,0,0,0
2023-07-20,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,31:51,Rumble,5,2,7
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Blue,Nongshim RedForce,33:04,K'Sante,2,4,6
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,30:01,Renekton,2,3,3
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,KT Rolster,34:47,Renekton,4,4,8
2023-07-16,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,26:52,Renekton,2,5,2
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,27:48,Sejuani,2,5,1
2023-07-14,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,32:54,Ornn,0,5,2
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,24:56,Renekton,1,5,2
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,25:33,Jax,2,5,1
2023-07-05,KR LCK 2023 Summer,13.12,Win,Red,T1,32:30,Jax,5,2,6
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,T1,31:20,Jax,7,1,2
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,32:55,Renekton,0,2,0
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,28:56,Jax,4,1,4
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,34:13,Jax,0,4,1
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,40:05,Poppy,8,5,9
2023-06-29,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,29:03,Jax,4,0,2
