Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,35:42,Jayce,1,3,0
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Red,T1,36:05,Azir,3,4,5
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Win,Blue,T1,32:44,Azir,2,0,6
2023-08-09,KR LCK 2023 Summer Playoffs,13.14,Loss,Blue,T1,30:28,Azir,3,2,3
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,34:06,Annie,1,4,3
2023-08-05,KR LCK 2023 Summer,13.14,Loss,Blue,Hanwha Life Esports,31:39,Jayce,2,4,2
2023-08-02,KR LCK 2023 Summer,13.14,Win,Blue,Nongshim RedForce,34:44,Neeko,2,3,7
2023-08-02,KR LCK 2023 Summer,13.14,Win,Red,Nongshim RedForce,36:32,Jayce,6,4,7
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,40:01,LeBlanc,4,6,11
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,33:02,Jayce,2,2,6
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,27:32,Tristana,3,0,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Blue,Kwangdong Freecs,28:41,Tristana,5,0,4
2023-07-21,KR LCK 2023 Summer,13.12,Win,Red,OKSavingsBank BRION,33:27,Jayce,3,1,9
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,30:52,Annie,3,1,5
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,27:55,Yasuo,0,4,0
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,35:50,LeBlanc,2,1,2
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:07,LeBlanc,0,4,3
2023-07-16,KR LCK 2023 Summer,13.12,Win,Red,T1,41:11,Yone,7,3,8
2023-07-16,KR LCK 2023 Summer,13.12,Win,Blue,T1,43:04,Neeko,1,2,8
2023-07-12,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,34:03,Annie,1,2,8
2023-07-12,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,36:55,Sylas,4,3,8
2023-07-07,KR LCK 2023 Summer,13.12,Win,Red,DRX,24:56,Jayce,10,0,10
2023-07-07,KR LCK 2023 Summer,13.12,Win,Blue,DRX,25:33,Annie,2,0,7
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:01,Tristana,15,1,3
2023-07-05,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:06,Tristana,5,1,6
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Blue,T1,30:11,Neeko,1,5,8
2023-06-30,KR LCK 2023 Summer,13.12,Loss,Red,T1,27:35,Jayce,2,3,1
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,27:10,Tristana,8,0,5
2023-06-28,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,32:56,Tristana,9,0,4
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,24:38,Azir,0,2,0
2023-06-24,KR LCK 2023 Summer,13.11,Win,Blue,Gen.G,31:06,Azir,5,0,1
2023-06-24,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,30:15,Azir,0,2,3
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,22:35,LeBlanc,1,3,1
2023-06-22,KR LCK 2023 Summer,13.11,Loss,Red,KT Rolster,37:02,Aurelion Sol,2,2,3
2023-06-18,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,31:18,LeBlanc,4,0,3
2023-06-18,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,29:12,LeBlanc,4,1,4
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,34:09,Corki,2,1,1
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,OKSavingsBank BRION,32:14,Ahri,0,1,2
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,27:58,Annie,1,0,6
2023-06-11,KR LCK 2023 Summer,13.10,Win,Blue,DRX,41:09,Annie,1,2,18
2023-06-11,KR LCK 2023 Summer,13.10,Loss,Red,DRX,34:27,Annie,3,4,10
2023-06-11,KR LCK 2023 Summer,13.10,Win,Red,DRX,21:45,Ahri,4,0,5
2023-06-07,KR LCK 2023 Summer,13.10,Win,Red,Liiv SANDBOX,29:25,Aurelion Sol,11,0,7
2023-06-07,KR LCK 2023 Summer,13.10,Win,Blue,Liiv SANDBOX,29:39,Annie,3,0,6
2023-03-23,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,Hanwha Life Esports,31:20,Taliyah,0,4,1
