Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,30:38,Zeri,0,4,1
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Red,DRX,28:05,Zeri,1,5,3
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,T1,23:43,Zeri,2,4,0
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,T1,23:40,Kai'Sa,1,2,1
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Red,Dplus KIA,27:32,Ashe,1,2,2
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Red,Dplus KIA,28:41,Ashe,1,6,2
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,29:59,Xayah,1,6,2
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,26:14,Samira,3,4,3
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,32:23,Aphelios,0,3,2
2023-07-22,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,30:49,Aphelios,6,2,4
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,34:47,Kai'Sa,2,4,1
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,30:60,Kai'Sa,1,2,1
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,49:15,Aphelios,4,1,2
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,24:13,Ashe,1,4,1
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,26:45,Xayah,0,4,2
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,30:03,Ashe,2,3,3
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,34:18,Kai'Sa,6,3,3
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,34:16,Kai'Sa,1,3,2
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,44:35,Kai'Sa,4,4,10
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,35:32,Ashe,6,5,7
2023-07-05,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:01,Aphelios,2,6,4
2023-07-05,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:06,Kai'Sa,2,5,3
2023-07-01,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,36:54,Kai'Sa,11,7,12
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,27:08,Aphelios,3,1,2
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,26:03,Xayah,1,5,0
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,35:59,Kai'Sa,1,3,4
2023-06-23,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,30:24,Aphelios,8,6,8
2023-06-23,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,32:11,Zeri,6,2,5
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,T1,27:32,Zeri,1,5,1
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,T1,30:60,Zeri,2,5,2
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,44:58,Zeri,6,1,5
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,32:20,Varus,1,2,0
2023-06-14,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,23:52,Jhin,0,3,0
2023-06-14,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,36:03,Miss Fortune,2,5,4
2023-06-10,KR LCK 2023 Summer,13.10,Win,Red,OKSavingsBank BRION,30:39,Zeri,2,2,6
2023-06-10,KR LCK 2023 Summer,13.10,Win,Blue,OKSavingsBank BRION,31:30,Aphelios,5,0,2
2023-06-08,KR LCK 2023 Summer,13.10,Win,Red,DRX,28:60,Zeri,6,0,5
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,DRX,42:49,Xayah,4,5,8
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,KT Rolster,35:09,Jinx,3,5,5
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,KT Rolster,35:07,Caitlyn,3,2,0
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,DRX,31:39,Ashe,3,0,10
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Blue,DRX,31:58,Zeri,1,2,2
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,DRX,40:28,Caitlyn,3,1,8
2023-03-12,KR LCK 2023 Spring,13.4,Win,Red,Gen.G,42:47,Ezreal,5,2,2
2023-03-12,KR LCK 2023 Spring,13.4,Win,Blue,Gen.G,39:06,Zeri,6,2,6
2023-03-12,KR LCK 2023 Spring,13.4,Loss,Red,Gen.G,30:55,Sivir,3,3,3
2023-03-08,KR LCK 2023 Spring,13.4,Win,Blue,Nongshim RedForce,26:23,Aphelios,7,0,5
2023-03-08,KR LCK 2023 Spring,13.4,Loss,Red,Nongshim RedForce,33:24,Zeri,1,4,3
2023-03-08,KR LCK 2023 Spring,13.4,Win,Blue,Nongshim RedForce,34:58,Xayah,6,2,6
2023-03-03,KR LCK 2023 Spring,13.4,Win,Red,Liiv SANDBOX,29:45,Zeri,2,1,7
