Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Blue,KT Rolster,35:59,Kai'Sa,4,5,5
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Red,KT Rolster,28:19,Kai'Sa,4,5,5
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,T1,31:45,Ezreal,0,3,2
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,T1,28:01,Kai'Sa,1,2,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,32:10,Xayah,2,1,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,31:31,Ezreal,6,1,11
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,33:24,Lucian,6,5,6
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,41:13,Varus,1,2,2
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,DRX,29:22,Kai'Sa,4,0,6
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,DRX,27:33,Kai'Sa,14,2,5
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,34:10,Ezreal,1,3,6
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,29:05,Aphelios,0,3,1
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,24:13,Kai'Sa,9,0,4
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,26:45,Kai'Sa,2,1,8
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,34:03,Xayah,1,3,1
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,36:55,Xayah,7,6,6
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Blue,Nongshim RedForce,38:57,Kai'Sa,5,2,2
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,34:22,Ashe,1,5,3
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,23:49,Ezreal,1,2,4
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:00,Ashe,1,7,2
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Blue,Kwangdong Freecs,36:54,Aphelios,11,7,9
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,27:08,Varus,1,1,0
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,DRX,40:05,Xayah,7,3,8
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,DRX,29:03,Varus,0,3,0
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,DRX,41:04,Aphelios,8,3,6
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,40:56,Varus,3,5,6
2023-06-23,KR LCK 2023 Summer,13.11,Win,Red,Hanwha Life Esports,29:40,Varus,7,0,7
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,30:59,Kalista,2,5,4
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,31:07,Lucian,1,3,4
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,40:37,Zeri,4,4,2
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,34:29,Xayah,5,1,8
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,23:51,Aphelios,0,1,0
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,39:07,Aphelios,2,2,4
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,T1,26:47,Zeri,3,4,1
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,T1,39:19,Zeri,8,1,3
2023-06-10,KR LCK 2023 Summer,13.10,Win,Red,Nongshim RedForce,28:10,Jinx,7,0,9
2023-06-10,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,27:12,Zeri,8,0,3
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Blue,Dplus KIA,29:25,Varus,4,4,2
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Dplus KIA,29:39,Aphelios,0,3,0
