Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,KR LCK 2023 Summer,13.14,Win,Red,Gen.G,31:49,Lillia,7,2,7
2023-08-05,KR LCK 2023 Summer,13.14,Win,Blue,Gen.G,28:01,Maokai,1,2,9
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,25:42,Vi,2,4,3
2023-08-03,KR LCK 2023 Summer,13.14,Loss,Red,DRX,33:10,Sejuani,0,4,6
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Blue,Nongshim RedForce,34:37,Ivern,0,3,7
2023-07-30,KR LCK 2023 Summer,13.13,Loss,Red,Nongshim RedForce,32:30,Rell,1,3,2
2023-07-30,KR LCK 2023 Summer,13.13,Win,Red,Nongshim RedForce,38:33,Sejuani,1,0,11
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,32:10,Vi,1,3,1
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Blue,Liiv SANDBOX,31:31,Maokai,2,5,6
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,T1,30:44,Poppy,1,0,8
2023-07-23,KR LCK 2023 Summer,13.12,Loss,Red,T1,31:38,Maokai,0,3,3
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,T1,41:15,Skarner,0,0,7
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,33:27,Maokai,1,4,4
2023-07-21,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:52,Vi,0,3,1
2023-07-21,KR LCK 2023 Summer,13.12,Win,Blue,Dplus KIA,27:55,Lillia,3,0,13
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,33:08,Sejuani,0,4,6
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Red,Hanwha Life Esports,32:35,Vi,1,2,2
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Hanwha Life Esports,30:08,Skarner,4,2,10
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,30:03,Lee Sin,3,1,10
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,34:18,Poppy,0,1,11
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,Kwangdong Freecs,34:16,Vi,1,2,8
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,31:52,Sejuani,0,3,6
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,29:12,Sejuani,0,2,6
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,32:38,Poppy,1,5,3
2023-07-07,KR LCK 2023 Summer,13.12,Loss,Blue,KT Rolster,30:38,Poppy,2,4,2
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,32:55,Poppy,1,0,4
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,DRX,28:56,Skarner,0,3,1
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,DRX,34:13,Skarner,2,0,15
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:03,Poppy,0,3,8
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,45:16,Poppy,0,3,9
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,28:31,Maokai,1,3,3
2023-06-25,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,30:06,Rek'Sai,1,4,5
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,31:07,Neeko,2,4,2
2023-06-21,KR LCK 2023 Summer,13.11,Win,Red,Liiv SANDBOX,40:37,Poppy,3,1,7
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Red,Liiv SANDBOX,34:29,Vi,1,5,4
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,T1,22:59,Lee Sin,1,2,2
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,T1,36:33,Sejuani,0,0,5
2023-06-15,KR LCK 2023 Summer,13.11,Win,Red,Dplus KIA,34:09,Poppy,3,1,3
2023-06-15,KR LCK 2023 Summer,13.11,Win,Blue,Dplus KIA,32:14,Sejuani,0,1,7
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,Dplus KIA,27:58,Sejuani,0,2,1
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Blue,Kwangdong Freecs,30:39,Vi,1,2,2
2023-06-10,KR LCK 2023 Summer,13.10,Loss,Red,Kwangdong Freecs,31:30,Viego,1,3,1
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Blue,Nongshim RedForce,29:34,Wukong,3,3,1
2023-06-08,KR LCK 2023 Summer,13.10,Loss,Red,Nongshim RedForce,35:37,Viego,1,1,0
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,32:05,Lee Sin,1,0,9
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,28:48,Lee Sin,3,3,2
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,Nongshim RedForce,35:27,Viego,1,2,2
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Blue,Liiv SANDBOX,36:15,Poppy,0,2,7
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Red,Liiv SANDBOX,29:34,Lee Sin,1,6,2
2023-03-12,KR LCK 2023 Spring,13.4,Loss,Blue,Dplus KIA,30:30,Vi,0,5,5
