Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Blue,KT Rolster,35:59,Wukong,3,4,3
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Red,KT Rolster,28:19,Nocturne,2,3,4
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,T1,31:45,Sejuani,0,4,2
2023-08-04,KR LCK 2023 Summer,13.14,Loss,Red,T1,28:01,Sejuani,2,2,3
2023-07-28,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,32:10,Sejuani,1,0,9
2023-07-28,KR LCK 2023 Summer,13.13,Win,Red,OKSavingsBank BRION,31:31,Sejuani,4,3,12
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,Gen.G,33:24,Maokai,1,3,10
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Red,Gen.G,41:13,Wukong,1,3,2
2023-07-23,KR LCK 2023 Summer,13.12,Win,Red,DRX,29:22,Wukong,2,0,5
2023-07-23,KR LCK 2023 Summer,13.12,Win,Blue,DRX,27:33,Nocturne,4,1,16
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,34:10,Lee Sin,2,3,6
2023-07-19,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,29:05,Ivern,0,2,0
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,24:13,Wukong,3,0,4
2023-07-15,KR LCK 2023 Summer,13.12,Win,Red,Kwangdong Freecs,26:45,Lee Sin,3,0,7
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,34:03,Maokai,0,2,6
2023-07-12,KR LCK 2023 Summer,13.12,Loss,Blue,Dplus KIA,36:55,Poppy,1,3,11
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Blue,Nongshim RedForce,38:57,Viego,2,3,4
2023-07-08,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,34:22,Maokai,1,7,5
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,23:49,Poppy,1,1,3
2023-07-06,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,31:00,Viego,3,3,2
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Blue,Kwangdong Freecs,36:54,Viego,6,6,15
2023-07-01,KR LCK 2023 Summer,13.12,Loss,Red,Kwangdong Freecs,27:08,Sejuani,1,2,3
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Blue,DRX,40:05,Sejuani,1,3,16
2023-06-29,KR LCK 2023 Summer,13.12,Loss,Red,DRX,29:03,Sejuani,0,3,1
2023-06-29,KR LCK 2023 Summer,13.12,Win,Red,DRX,41:04,Maokai,4,3,14
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,40:56,Wukong,8,5,5
2023-06-23,KR LCK 2023 Summer,13.11,Win,Red,Hanwha Life Esports,29:40,Wukong,4,1,8
2023-06-23,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,30:59,Poppy,1,6,5
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,31:07,Sejuani,2,1,10
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,OKSavingsBank BRION,40:37,Sejuani,0,3,3
2023-06-21,KR LCK 2023 Summer,13.11,Win,Blue,OKSavingsBank BRION,34:29,Wukong,5,1,5
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,23:51,Kha'Zix,2,5,0
2023-06-18,KR LCK 2023 Summer,13.11,Loss,Blue,KT Rolster,39:07,Kindred,4,2,6
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Blue,T1,26:47,Sejuani,0,5,1
2023-06-15,KR LCK 2023 Summer,13.11,Loss,Red,T1,39:19,Nocturne,1,4,8
2023-06-10,KR LCK 2023 Summer,13.10,Win,Red,Nongshim RedForce,28:10,Wukong,4,4,12
2023-06-10,KR LCK 2023 Summer,13.10,Win,Blue,Nongshim RedForce,27:12,Graves,0,1,9
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Blue,Dplus KIA,29:25,Sejuani,0,2,4
2023-06-07,KR LCK 2023 Summer,13.10,Loss,Red,Dplus KIA,29:39,Vi,0,3,0
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,KT Rolster,34:17,Vi,0,0,2
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Red,KT Rolster,27:41,Vi,1,4,0
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Win,Blue,KT Rolster,28:32,Wukong,5,2,8
2023-03-22,KR LCK 2023 Spring Playoffs,13.5,Loss,Blue,KT Rolster,29:27,Lee Sin,1,2,4
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Hanwha Life Esports,39:05,Lee Sin,4,5,7
2023-03-18,KR LCK 2023 Spring,13.5,Win,Blue,Hanwha Life Esports,31:26,Wukong,5,1,9
2023-03-18,KR LCK 2023 Spring,13.5,Loss,Red,Hanwha Life Esports,28:18,Viego,3,3,0
2023-03-15,KR LCK 2023 Spring,13.5,Win,Red,BRION,36:15,Lee Sin,3,2,13
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,BRION,29:34,Sejuani,1,0,9
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,DRX,32:04,Wukong,5,1,7
2023-03-11,KR LCK 2023 Spring,13.4,Win,Red,DRX,26:56,Wukong,3,1,10
