Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Blue,DRX,30:38,Viego,0,3,1
2023-08-06,KR LCK 2023 Summer,13.14,Loss,Red,DRX,28:05,Maokai,1,6,3
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,T1,23:43,Rell,0,3,2
2023-08-02,KR LCK 2023 Summer,13.14,Loss,Red,T1,23:40,Rell,0,3,4
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Red,Dplus KIA,27:32,Viego,1,2,2
2023-07-28,KR LCK 2023 Summer,13.13,Loss,Red,Dplus KIA,28:41,Kha'Zix,1,2,2
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,29:59,Kha'Zix,2,3,3
2023-07-26,KR LCK 2023 Summer,13.13,Loss,Blue,KT Rolster,26:14,Nocturne,1,2,4
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,32:23,Poppy,0,2,2
2023-07-22,KR LCK 2023 Summer,13.12,Win,Blue,Nongshim RedForce,30:49,Sejuani,3,1,9
2023-07-22,KR LCK 2023 Summer,13.12,Loss,Red,Nongshim RedForce,34:47,Sejuani,1,1,3
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Red,Gen.G,30:60,Viego,2,3,4
2023-07-20,KR LCK 2023 Summer,13.12,Loss,Blue,Gen.G,49:15,Poppy,0,6,6
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,24:13,Sejuani,0,2,1
2023-07-15,KR LCK 2023 Summer,13.12,Loss,Blue,Liiv SANDBOX,26:45,Maokai,1,4,4
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,30:03,Maokai,0,3,5
2023-07-13,KR LCK 2023 Summer,13.12,Win,Blue,OKSavingsBank BRION,34:18,Sejuani,2,1,10
2023-07-13,KR LCK 2023 Summer,13.12,Loss,Red,OKSavingsBank BRION,34:16,Maokai,1,2,3
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,44:35,Sejuani,2,3,8
2023-07-09,KR LCK 2023 Summer,13.12,Loss,Blue,Hanwha Life Esports,35:32,Maokai,2,6,12
2023-07-05,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:01,Maokai,3,4,6
2023-07-05,KR LCK 2023 Summer,13.12,Loss,Red,Dplus KIA,30:06,Viego,2,4,3
2023-07-01,KR LCK 2023 Summer,13.12,Win,Red,Liiv SANDBOX,36:54,Sejuani,2,7,17
2023-07-01,KR LCK 2023 Summer,13.12,Win,Blue,Liiv SANDBOX,27:08,Volibear,2,0,4
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,26:03,Sejuani,0,2,1
2023-06-28,KR LCK 2023 Summer,13.12,Loss,Red,KT Rolster,35:59,Poppy,2,2,4
2023-06-23,KR LCK 2023 Summer,13.11,Win,Red,Nongshim RedForce,30:24,Sejuani,3,1,18
2023-06-23,KR LCK 2023 Summer,13.11,Win,Blue,Nongshim RedForce,32:11,Sejuani,2,0,6
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,T1,27:32,Sejuani,1,1,2
2023-06-21,KR LCK 2023 Summer,13.11,Loss,Blue,T1,30:60,Sejuani,2,3,2
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Blue,Hanwha Life Esports,44:58,Wukong,1,3,5
2023-06-17,KR LCK 2023 Summer,13.11,Loss,Red,Hanwha Life Esports,32:20,Sejuani,0,0,2
2023-06-14,KR LCK 2023 Summer,13.11,Loss,Blue,Gen.G,23:52,Maokai,0,3,0
2023-06-14,KR LCK 2023 Summer,13.11,Loss,Red,Gen.G,36:03,Wukong,4,3,7
2023-06-10,KR LCK 2023 Summer,13.10,Win,Red,OKSavingsBank BRION,30:39,Volibear,2,1,5
2023-06-10,KR LCK 2023 Summer,13.10,Win,Blue,OKSavingsBank BRION,31:30,Sejuani,0,0,5
2023-06-08,KR LCK 2023 Summer,13.10,Win,Red,DRX,28:60,Vi,1,1,9
2023-06-08,KR LCK 2023 Summer,13.10,Win,Blue,DRX,42:49,Volibear,5,2,11
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,KT Rolster,35:09,Sejuani,4,2,3
2023-03-17,KR LCK 2023 Spring,13.5,Loss,Blue,KT Rolster,35:07,Wukong,0,4,3
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,DRX,31:39,Viego,3,1,11
2023-03-15,KR LCK 2023 Spring,13.5,Loss,Blue,DRX,31:58,Wukong,2,1,2
2023-03-15,KR LCK 2023 Spring,13.5,Win,Blue,DRX,40:28,Wukong,5,0,6
2023-03-12,KR LCK 2023 Spring,13.4,Win,Red,Gen.G,42:47,Vi,2,5,3
2023-03-12,KR LCK 2023 Spring,13.4,Win,Blue,Gen.G,39:06,Sejuani,4,1,10
2023-03-12,KR LCK 2023 Spring,13.4,Loss,Red,Gen.G,30:55,Wukong,2,4,3
2023-03-08,KR LCK 2023 Spring,13.4,Win,Blue,Nongshim RedForce,26:23,Lee Sin,3,2,5
2023-03-08,KR LCK 2023 Spring,13.4,Loss,Red,Nongshim RedForce,33:24,Maokai,1,2,3
2023-03-08,KR LCK 2023 Spring,13.4,Win,Blue,Nongshim RedForce,34:58,Lee Sin,1,2,10
2023-03-03,KR LCK 2023 Spring,13.4,Win,Red,Liiv SANDBOX,29:45,Wukong,4,0,3
