Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,Disguised,36:42,Ivern,0,2,6
2023-08-09,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,Disguised,34:53,Nocturne,0,2,7
2023-08-09,NA NACL 2023 Summer Playoffs,13.14,Loss,Blue,Disguised,41:03,Sejuani,0,4,3
2023-08-09,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,Disguised,30:10,Viego,3,5,0
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,30:08,Sejuani,1,6,10
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,40:05,Ivern,0,1,10
2023-08-01,NA NACL 2023 Summer Playoffs,13.14,Win,Red,Cincinnati Fear,26:37,Sejuani,1,2,11
2023-08-01,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,Cincinnati Fear,30:42,Nocturne,2,3,11
2023-08-01,NA NACL 2023 Summer Playoffs,13.14,Loss,Blue,Cincinnati Fear,36:54,Nocturne,4,2,9
2023-08-01,NA NACL 2023 Summer Playoffs,13.14,Win,Red,Cincinnati Fear,32:55,Ivern,0,0,21
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,FlyQuest Challengers,33:25,Ivern,1,1,8
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Loss,Blue,FlyQuest Challengers,21:07,Ivern,1,6,6
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,FlyQuest Challengers,32:03,Lillia,3,1,7
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Win,Red,FlyQuest Challengers,36:14,Nocturne,4,1,12
2023-07-29,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,Team Liquid Challengers,35:24,Nocturne,2,1,6
2023-07-29,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,Team Liquid Challengers,30:31,Ivern,0,1,8
2023-07-25,NA NACL 2023 Summer Playoffs,13.14,Win,Red,AOE Gold,25:60,Vi,1,2,4
2023-07-25,NA NACL 2023 Summer Playoffs,13.14,Win,Red,AOE Gold,33:32,Nocturne,1,3,12
2023-07-23,NA NACL 2023 Summer Playoffs,13.14,Loss,Blue,FlyQuest Challengers,35:00,Sejuani,3,3,9
2023-07-23,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,FlyQuest Challengers,36:42,Rell,2,1,6
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:46,Sejuani,0,1,6
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,FlyQuest,24:23,Maokai,1,6,6
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,19:12,Rell,0,4,1
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,NRG,28:01,Poppy,0,7,4
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,23:52,Ivern,2,0,12
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,33:04,Ivern,2,0,16
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,22:11,Sejuani,1,6,2
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:51,Sejuani,3,1,15
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,TSM,29:34,Sejuani,1,1,9
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,38:06,Viego,6,2,7
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,36:30,Nocturne,2,1,13
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,27:44,Viego,10,0,8
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Dignitas,35:42,Trundle,2,4,6
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Golden Guardians,31:23,Sejuani,3,2,8
2023-06-15,NA LCS 2023 Summer,13.11,Win,Blue,NRG,24:45,Viego,5,0,6
