Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Win,Red,NRG,41:60,Rell,1,5,7
2023-08-12,NA LCS 2023 Championship,13.14,Win,Red,NRG,37:33,Sejuani,5,3,10
2023-08-12,NA LCS 2023 Championship,13.14,Win,Blue,NRG,33:20,Rell,2,6,13
2023-08-05,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,28:01,Maokai,2,2,10
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,30:08,Kha'Zix,7,2,15
2023-08-05,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,40:05,Sejuani,2,2,10
2023-07-22,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,25:34,Kindred,3,0,9
2023-07-22,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,25:35,Sejuani,2,1,7
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,TSM,20:42,Ivern,2,1,9
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,NRG,38:19,Poppy,2,1,13
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,25:46,Maokai,1,3,4
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:08,Maokai,3,2,12
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,Team Liquid,38:33,Kindred,4,3,5
2023-07-07,NA LCS 2023 Summer,13.13,Win,Red,Immortals,28:16,Sejuani,6,1,13
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,30:02,Maokai,5,1,8
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,27:56,Viego,2,2,0
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,Evil Geniuses.NA,22:11,Kindred,11,1,8
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,28:18,Vi,0,5,3
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:11,Vi,2,1,10
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,NRG,29:59,Vi,2,6,4
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,26:46,Maokai,0,1,10
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,28:24,Nocturne,1,1,12
2023-06-17,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:25,Kindred,4,3,7
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,Dignitas,27:24,Kha'Zix,9,3,7
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Golden Guardians,26:37,Kindred,4,1,2
2023-05-17,INT MSI 2023,13.8,Loss,Blue,Gen.G,26:31,Lee Sin,2,6,2
2023-05-17,INT MSI 2023,13.8,Loss,Blue,Gen.G,25:55,Kha'Zix,1,4,0
2023-05-17,INT MSI 2023,13.8,Loss,Red,Gen.G,27:07,Poppy,1,4,2
2023-05-14,INT MSI 2023,13.8,Win,Blue,Golden Guardians,35:02,Nidalee,9,3,5
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,35:05,Vi,2,4,7
2023-05-14,INT MSI 2023,13.8,Win,Blue,Golden Guardians,30:39,Kha'Zix,4,2,6
2023-05-14,INT MSI 2023,13.8,Win,Red,Golden Guardians,22:59,Sejuani,2,1,6
2023-05-11,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,34:38,Lee Sin,5,4,9
2023-05-11,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,31:06,Kindred,3,3,1
2023-05-11,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,34:55,Nocturne,5,5,6
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Golden Guardians,29:06,Poppy,2,2,9
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,26:22,Elise,3,1,6
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,28:26,Sejuani,0,4,3
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,37:58,Maokai,0,3,13
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Red,FlyQuest,36:55,Sejuani,2,2,16
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Red,FlyQuest,34:51,Maokai,1,1,13
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,FlyQuest,32:16,Maokai,0,2,21
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:29,Maokai,3,6,11
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Counter Logic Gaming,28:28,Maokai,1,2,6
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Counter Logic Gaming,34:39,Lee Sin,1,1,4
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Counter Logic Gaming,38:23,Maokai,1,5,8
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,FlyQuest,29:25,Elise,5,4,9
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,37:51,Gragas,0,8,3
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Immortals,27:11,Elise,2,1,5
2023-03-15,NA LCS 2023 Spring,13.5,Win,Blue,FlyQuest,26:36,Wukong,6,0,3
