Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,NRG,33:06,Azir,8,3,8
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,38:45,Twisted Fate,0,6,6
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,30:59,Veigar,2,3,1
2023-07-15,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,35:27,Veigar,5,1,13
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,34:56,Ziggs,3,2,6
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,26:37,Neeko,4,0,9
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,28:16,Neeko,2,3,6
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,24:54,Zoe,1,2,3
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,40:04,Vel'Koz,3,3,4
2023-07-01,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,23:32,Ahri,0,2,4
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,26:51,Annie,0,4,2
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,26:11,Ahri,1,1,3
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,100 Thieves,35:58,Azir,2,3,4
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,26:13,Annie,2,3,4
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,30:27,Annie,3,5,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,21:09,Vel'Koz,1,3,0
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,NRG,41:00,Annie,3,4,13
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Dignitas,27:31,Ahri,3,0,6
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,30:17,Ahri,2,2,1
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,27:11,Zoe,2,2,2
2023-03-16,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,27:51,Galio,1,1,7
2023-03-12,NA NACL 2023 Spring Playoffs,13.5,Loss,Red,FlyQuest Challengers,28:39,Ahri,1,3,1
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,33:07,Galio,2,2,8
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Red,TSM,44:22,Vel'Koz,6,2,7
2023-03-06,NA NACL 2023 Spring,13.4,Loss,Red,FlyQuest Challengers,26:43,Galio,1,3,5
2023-03-06,NA NACL 2023 Spring,13.4,Win,Red,FlyQuest Challengers,27:59,Zoe,10,0,11
2023-03-05,NA NACL 2023 Spring,13.4,Loss,Red,Dignitas Challengers,30:45,Veigar,3,2,3
2023-03-05,NA NACL 2023 Spring,13.4,Win,Red,Dignitas Challengers,33:15,Veigar,5,0,10
2023-03-05,NA NACL 2023 Spring,13.4,Win,Red,Evil Geniuses Challengers,31:40,Galio,2,1,10
2023-03-05,NA NACL 2023 Spring,13.4,Win,Red,Evil Geniuses Challengers,28:23,Vel'Koz,4,1,8
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,Golden Guardians,34:01,Ahri,5,1,5
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Dignitas,46:51,Zoe,4,1,11
2023-02-26,NA NACL 2023 Spring,13.3,Loss,Blue,FLY FAM,30:34,Ryze,1,5,3
2023-02-26,NA NACL 2023 Spring,13.3,Win,Blue,FLY FAM,31:25,Taliyah,3,2,7
2023-02-25,NA NACL 2023 Spring,13.3,Win,Red,CLG Faith,24:54,Lissandra,7,0,8
2023-02-25,NA NACL 2023 Spring,13.3,Win,Blue,CLG Faith,27:04,Zoe,6,1,8
2023-02-18,NA NACL 2023 Spring,13.3,Win,Red,CLG Challengers,41:39,Ahri,4,1,8
2023-02-18,NA NACL 2023 Spring,13.3,Loss,Red,CLG Challengers,29:25,Sylas,3,4,3
2023-02-13,NA NACL 2023 Spring,13.1,Loss,Blue,Cloud9 Challengers,41:35,Zoe,7,4,5
2023-02-13,NA NACL 2023 Spring,13.1,Loss,Blue,Cloud9 Challengers,34:16,Sylas,2,2,4
2023-02-12,NA NACL 2023 Spring,13.1,Win,Red,Team Liquid First,26:24,Sylas,6,0,11
2023-02-11,NA NACL 2023 Spring,13.1,Win,Red,Team Liquid First,42:10,Azir,7,3,9
2023-02-06,NA NACL 2023 Spring,13.1,Win,Red,TSM Challengers,28:34,Azir,4,0,9
2023-02-06,NA NACL 2023 Spring,13.1,Loss,Blue,TSM Challengers,33:02,Viktor,4,1,4
2023-02-05,NA NACL 2023 Spring,13.1,Win,Blue,AOE Gold,30:37,Sylas,5,4,12
2023-02-05,NA NACL 2023 Spring,13.1,Loss,Blue,AOE Gold,29:56,Azir,2,5,4
2023-01-31,NA NACL 2023 Spring,13.1,Loss,Red,Cincinnati Fear,28:28,Sylas,4,6,2
2023-01-30,NA NACL 2023 Spring,13.1,Win,Blue,Cincinnati Fear,29:41,Sylas,7,1,3
2023-01-29,NA NACL 2023 Spring,13.1,Loss,Blue,Golden Guardians Challengers,24:46,Twisted Fate,3,3,4
2023-01-29,NA NACL 2023 Spring,13.1,Loss,Red,Golden Guardians Challengers,27:37,Vel'Koz,1,3,3
