Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,35:36,Sejuani,1,3,7
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,45:33,Sejuani,4,3,18
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,23:09,Vi,0,4,1
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,39:24,Vi,4,4,6
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Blue,Dignitas,26:49,Lillia,0,3,1
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,21:23,Maokai,1,4,1
2023-07-27,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:11,Sejuani,3,0,11
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:53,Rell,0,5,7
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:44,Rell,1,8,6
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,25:17,Rell,2,1,15
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,28:29,Sejuani,1,1,5
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,20:42,Maokai,1,3,4
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,24:59,Nocturne,2,4,1
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,23:59,Viego,1,5,1
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,38:27,Nocturne,5,3,13
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,29:13,Nautilus,1,1,15
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,Golden Guardians,27:01,Maokai,0,1,7
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:02,Sejuani,5,1,15
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Immortals,40:04,Nautilus,3,4,10
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,100 Thieves,33:07,Viego,1,3,3
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,31:47,Sejuani,1,2,4
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,29:34,Nocturne,2,4,1
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Golden Guardians,32:28,Maokai,1,5,7
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,NRG,26:35,Maokai,2,1,14
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Immortals,30:27,Maokai,2,2,12
2023-06-17,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,29:25,Wukong,3,3,5
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,33:43,Jarvan IV,4,1,8
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Team Liquid,29:57,Wukong,3,4,6
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,FlyQuest,30:30,Wukong,2,2,4
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,29:28,Wukong,6,2,5
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,46:60,Sejuani,0,5,11
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Golden Guardians,30:38,Viego,2,6,3
2023-03-09,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,44:22,Wukong,4,3,5
2023-03-04,NA LCS 2023 Spring,13.4,Win,Red,Team Liquid,33:26,Vi,2,1,10
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Blue,Evil Geniuses.NA,43:23,Vi,1,4,7
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,26:37,Elise,1,5,4
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Red,Counter Logic Gaming,37:59,Maokai,0,3,4
2023-02-18,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,31:56,Sejuani,2,0,7
2023-02-17,NA LCS 2023 Spring,13.3,Win,Blue,FlyQuest,38:17,Vi,0,4,16
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Golden Guardians,33:11,Wukong,1,3,3
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Counter Logic Gaming,32:59,Elise,6,4,12
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,Cloud9,34:45,Sejuani,0,4,4
2023-02-04,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,30:02,Maokai,1,6,1
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Red,Evil Geniuses.NA,27:29,Wukong,0,3,6
2023-01-28,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,40:07,Graves,6,5,12
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Immortals,31:34,Elise,4,0,5
