Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:05,Nautilus,0,4,4
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:18,Rakan,0,1,1
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,27:36,Nautilus,0,3,11
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,41:44,Renata Glasc,2,2,9
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,28:12,Nautilus,1,4,3
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,36:36,Rakan,1,2,11
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:08,Rakan,2,1,9
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,42:34,Renata Glasc,0,2,6
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,TSM,23:59,Renata Glasc,0,0,17
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,27:08,Rell,1,5,6
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,26:37,Rakan,1,4,1
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,27:42,Nautilus,0,6,3
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,23:52,Alistar,1,4,2
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,29:49,Rell,0,2,8
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,TSM,33:07,Renata Glasc,0,0,11
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,39:48,Milio,0,4,8
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Dignitas,33:08,Nautilus,0,4,7
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Immortals,35:58,Rakan,0,1,9
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Cloud9,26:46,Rakan,0,2,3
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,27:44,Braum,0,2,3
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Red,NRG,34:34,Yuumi,0,3,3
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,32:32,Nami,0,2,3
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,30:31,Milio,0,0,11
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,30:43,Thresh,1,2,12
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,25:39,Lulu,0,2,3
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,26:41,Blitzcrank,0,2,13
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,29:24,Nautilus,0,5,6
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,33:18,Thresh,1,1,17
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,FlyQuest,30:48,Thresh,1,4,8
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,FlyQuest,37:23,Thresh,0,3,10
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,FlyQuest,30:42,Thresh,0,4,3
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,Counter Logic Gaming,43:01,Nautilus,0,5,16
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,40:31,Rakan,1,4,19
2023-03-18,NA LCS 2023 Spring,13.5,Win,Blue,Immortals,30:17,Thresh,0,2,15
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Evil Geniuses.NA,41:30,Rakan,2,2,14
2023-03-15,NA LCS 2023 Spring,13.5,Win,Blue,TSM,46:60,Renata Glasc,0,2,21
2023-03-11,NA LCS 2023 Spring,13.4,Win,Red,Dignitas,28:21,Rakan,0,0,15
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Golden Guardians,24:15,Rakan,0,2,10
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Counter Logic Gaming,30:29,Lux,1,5,1
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Blue,Cloud9,23:11,Lulu,1,3,1
2023-02-25,NA LCS 2023 Spring,13.3,Win,Blue,Team Liquid,41:35,Lulu,1,2,9
2023-02-23,NA LCS 2023 Spring,13.3,Loss,Red,FlyQuest,33:41,Lulu,1,3,6
2023-02-18,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,34:28,Nami,2,3,4
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,34:54,Soraka,0,1,2
2023-02-15,NA LCS 2023 Spring,13.3,Loss,Red,Evil Geniuses.NA,45:07,Karma,0,1,5
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,FlyQuest,30:50,Rakan,0,7,4
2023-02-10,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,37:49,Varus,3,5,13
2023-02-04,NA LCS 2023 Spring,13.1,Win,Red,TSM,30:02,Lulu,1,0,11
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,31:09,Lulu,0,1,14
2023-01-28,NA LCS 2023 Spring,13.1,Win,Blue,Immortals,28:21,Yuumi,2,1,13
