Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,35:36,Sett,1,4,4
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,45:33,Rakan,0,4,18
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,23:09,Maokai,0,2,0
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,39:24,Leona,1,5,9
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Blue,Dignitas,26:49,Sett,1,4,1
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,21:23,Braum,0,3,2
2023-07-27,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:11,Sett,2,0,7
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:53,Thresh,1,7,6
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:44,Thresh,0,3,4
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,25:17,Rakan,0,0,14
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,28:29,Rakan,2,2,4
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,20:42,Alistar,0,2,3
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,24:59,Maokai,1,3,1
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,23:59,Rell,1,4,0
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,38:27,Rakan,2,1,17
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,29:13,Rakan,0,3,16
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,Golden Guardians,27:01,Braum,0,0,6
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:02,Alistar,1,2,14
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Immortals,40:04,Lulu,0,0,14
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,100 Thieves,33:07,Blitzcrank,0,4,3
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,31:47,Braum,0,4,6
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,29:34,Rakan,0,1,3
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Golden Guardians,32:28,Alistar,3,2,8
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,NRG,26:35,Rakan,0,0,15
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Immortals,30:27,Renata Glasc,0,1,13
2023-06-17,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,29:25,Karma,1,3,5
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,33:43,Nami,0,0,8
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Team Liquid,29:57,Rakan,0,5,10
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,FlyQuest,30:30,Thresh,0,1,4
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,29:28,Soraka,0,1,11
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,46:60,Rakan,0,3,15
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Golden Guardians,30:38,Rakan,0,4,6
2023-03-09,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,44:22,Karma,1,3,16
2023-03-04,NA LCS 2023 Spring,13.4,Win,Red,Team Liquid,33:26,Karma,1,1,10
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Blue,Evil Geniuses.NA,43:23,Lulu,0,1,7
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,26:37,Nautilus,0,7,8
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Red,Counter Logic Gaming,37:59,Karma,1,2,3
2023-02-18,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,31:56,Nami,0,0,7
2023-02-17,NA LCS 2023 Spring,13.3,Win,Blue,FlyQuest,38:17,Rakan,2,0,16
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Golden Guardians,33:11,Lulu,0,4,4
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Counter Logic Gaming,32:59,Lulu,0,1,19
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,Cloud9,34:45,Nami,0,4,7
2023-02-04,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,30:02,Nami,0,4,1
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Red,Evil Geniuses.NA,27:29,Nami,1,1,5
2023-01-28,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,40:07,Ashe,1,4,14
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Immortals,31:34,Nami,0,0,11
2023-01-24,NA NACL 2023 Spring,13.1,Loss,Red,FlyQuest Challengers,23:36,Lulu,0,1,2
2023-01-24,NA NACL 2023 Spring,13.1,Loss,Blue,FlyQuest Challengers,27:33,Ashe,0,2,2
2023-01-22,NA NACL 2023 Spring,13.1,Win,Red,Dignitas Challengers,25:24,Nami,0,0,17
2023-01-22,NA NACL 2023 Spring,13.1,Loss,Red,Dignitas Challengers,43:04,Nami,2,3,13
