Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,41:60,Ivern,1,3,12
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,37:33,Kha'Zix,4,5,4
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,33:20,Maokai,1,4,10
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,29:07,Viego,12,0,4
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:41,Sejuani,0,3,14
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,Golden Guardians,37:35,Nidalee,4,3,8
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,32:60,Trundle,1,2,12
2023-07-29,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,29:52,Ivern,1,0,8
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,35:32,Maokai,3,4,11
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Poppy,4,1,12
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,45:05,Rell,0,1,20
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Immortals,33:06,Sejuani,3,5,6
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,35:08,Sejuani,2,3,2
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,38:19,Amumu,3,5,8
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,35:55,Poppy,4,4,10
2023-07-13,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,43:50,Rell,1,3,23
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,27:27,Sejuani,2,2,8
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,28:01,Sejuani,2,1,19
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,TSM,35:02,Maokai,0,9,4
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,31:01,Poppy,1,4,8
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,34:29,Sion,3,3,4
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,36:45,Wukong,1,1,3
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Golden Guardians,50:17,Ivern,3,0,17
2023-06-24,NA LCS 2023 Summer,13.12,Win,Red,Cloud9,29:59,Wukong,3,1,11
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,26:35,Vi,0,4,3
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,31:01,Ivern,0,4,4
2023-06-16,NA LCS 2023 Summer,13.11,Win,Blue,100 Thieves,34:34,Kha'Zix,6,0,9
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Immortals,41:00,Sejuani,2,3,17
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Red,Evil Geniuses.NA,24:45,Poppy,0,4,0
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,41:32,Gragas,1,4,6
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,34:25,Vi,1,3,4
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,34:52,Vi,6,4,2
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:29,Elise,4,5,6
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,28:28,Wukong,2,1,3
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Cloud9,34:39,Elise,0,3,5
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,38:23,Wukong,4,4,4
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,43:01,Gragas,4,6,4
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Cloud9,37:51,Sejuani,7,1,17
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Team Liquid,41:09,Elise,2,1,8
2023-03-15,NA LCS 2023 Spring,13.5,Win,Red,Golden Guardians,39:16,Sejuani,3,2,9
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,38:14,Vi,1,6,2
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Blue,Dignitas,45:27,Viego,0,4,9
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,100 Thieves,30:29,Sejuani,1,1,8
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,37:28,Lee Sin,1,6,6
2023-02-24,NA LCS 2023 Spring,13.3,Win,Red,Immortals,33:19,Maokai,5,1,12
2023-02-24,NA LCS 2023 Spring,13.3,Win,Blue,TSM,37:59,Elise,4,2,8
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,FlyQuest,29:41,Sejuani,3,3,4
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,100 Thieves,34:54,Vi,5,0,7
2023-02-16,NA LCS 2023 Spring,13.3,Win,Red,Team Liquid,31:54,Vi,1,0,7
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Red,TSM,32:59,Maokai,1,7,4
