Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,36:45,Rell,1,5,12
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,37:41,Milio,0,2,5
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:27,Nautilus,0,5,5
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,23:33,Rell,0,0,12
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,30:09,Alistar,2,3,7
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,24:17,Taric,1,0,10
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,30:37,Nautilus,1,2,5
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,21:09,Taric,1,2,6
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:13,Alistar,0,2,14
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:05,Rakan,0,1,11
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:18,Taric,0,0,7
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,100 Thieves,27:36,Rakan,1,5,7
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,100 Thieves,41:44,Rakan,1,2,4
2023-07-29,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:52,Sett,1,2,5
2023-07-28,NA LCS 2023 Championship,13.14,Win,Blue,NRG,35:32,Nautilus,1,6,8
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,37:41,Leona,0,7,6
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,45:05,Sett,0,4,5
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:25,Nautilus,1,3,8
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,34:32,Heimerdinger,0,5,8
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,28:31,Thresh,0,3,3
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,30:01,Rakan,0,2,16
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,38:27,Rell,0,4,8
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Cloud9,38:33,Rakan,0,4,10
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:42,Thresh,2,1,9
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,24:54,Milio,0,1,14
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,NRG,31:01,Rakan,0,3,6
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,33:06,Renata Glasc,0,3,5
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Cloud9,28:18,Renata Glasc,3,0,12
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,FlyQuest,44:10,Milio,0,1,10
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,38:06,Rell,0,5,3
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,40:28,Rakan,1,2,23
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,NRG,31:01,Rell,1,0,17
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Immortals,21:09,Nami,1,1,8
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,100 Thieves,32:32,Milio,0,0,8
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:57,Renata Glasc,1,2,16
2023-03-17,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,42:09,Tahm Kench,0,5,10
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,41:09,Lulu,0,1,6
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,31:38,Rakan,0,1,9
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,29:09,Rakan,0,3,2
2023-03-09,NA LCS 2023 Spring,13.4,Win,Red,FlyQuest,26:31,Thresh,3,1,12
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,TSM,33:26,Lulu,0,2,3
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Golden Guardians,30:38,Rakan,2,3,12
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,100 Thieves,41:35,Nami,1,2,7
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:07,Annie,0,0,16
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,Cloud9,41:33,Nami,0,2,7
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Red,Evil Geniuses.NA,44:47,Lux,0,5,8
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,31:54,Thresh,0,3,7
2023-02-11,NA LCS 2023 Spring,13.1,Win,Red,Dignitas,24:11,Karma,0,1,12
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,37:49,Ashe,0,5,8
2023-02-04,NA LCS 2023 Spring,13.1,Win,Blue,Golden Guardians,40:08,Blitzcrank,4,2,9
