Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,41:60,Renekton,7,3,6
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,37:33,Ornn,1,7,4
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,33:20,Renekton,4,4,7
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,29:07,Gangplank,2,3,8
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:41,K'Sante,3,5,9
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,Golden Guardians,37:35,Renekton,0,3,4
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,32:60,K'Sante,3,4,7
2023-07-29,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,29:52,Renekton,1,3,4
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,35:32,Renekton,4,7,6
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Renekton,4,7,4
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,45:05,Renekton,3,2,8
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Immortals,33:06,Yone,1,6,4
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,35:08,Ornn,0,2,2
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,38:19,K'Sante,2,4,7
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,35:55,Gangplank,7,2,7
2023-07-13,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,43:50,Renekton,4,1,15
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,27:27,Ornn,2,0,9
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,28:01,Renekton,5,1,12
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,TSM,35:02,Jayce,1,3,3
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,31:01,K'Sante,0,2,4
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,34:29,K'Sante,0,2,6
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,36:45,Jayce,1,3,4
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Golden Guardians,50:17,Renekton,5,5,8
2023-06-24,NA LCS 2023 Summer,13.12,Win,Red,Cloud9,29:59,Jayce,5,5,4
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,26:35,Renekton,1,4,2
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,31:01,Sion,0,4,3
2023-06-16,NA LCS 2023 Summer,13.11,Win,Blue,100 Thieves,34:34,K'Sante,4,1,10
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Immortals,41:00,Jax,5,5,2
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Red,Evil Geniuses.NA,24:45,Ornn,0,4,0
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,41:32,Sion,3,4,1
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,34:25,Renekton,1,3,0
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,34:52,Sion,0,3,5
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:29,Sion,1,4,9
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,28:28,Sion,0,3,2
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Cloud9,34:39,Gwen,0,1,2
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,38:23,Sion,1,1,9
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,43:01,Yone,1,6,1
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Cloud9,37:51,Sion,4,1,9
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Team Liquid,41:09,Gwen,4,2,4
2023-03-15,NA LCS 2023 Spring,13.5,Win,Red,Golden Guardians,39:16,Yone,3,5,2
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,38:14,K'Sante,2,5,3
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Blue,Dignitas,45:27,Gragas,0,5,8
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,100 Thieves,30:29,Sion,4,2,4
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,37:28,Olaf,3,5,4
2023-02-24,NA LCS 2023 Spring,13.3,Win,Red,Immortals,33:19,Gwen,5,2,7
2023-02-24,NA LCS 2023 Spring,13.3,Win,Blue,TSM,37:59,Sion,2,1,8
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,FlyQuest,29:41,Gangplank,1,3,4
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,100 Thieves,34:54,Irelia,4,1,7
2023-02-16,NA LCS 2023 Spring,13.3,Win,Red,Team Liquid,31:54,Irelia,6,4,1
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Red,TSM,32:59,Renekton,2,6,4
