Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:05,Kai'Sa,0,1,3
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:18,Kai'Sa,1,3,0
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,27:36,Kai'Sa,9,2,6
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,41:44,Varus,6,0,4
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,28:12,Sivir,3,3,2
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,36:36,Zeri,4,2,5
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:08,Kai'Sa,3,0,6
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,42:34,Xayah,1,3,4
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,TSM,23:59,Xayah,6,0,9
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,27:08,Varus,3,4,5
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,26:37,Kai'Sa,2,6,1
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,27:42,Kai'Sa,3,4,1
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,23:52,Jinx,0,3,3
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,29:49,Varus,7,2,2
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,TSM,33:07,Varus,5,1,5
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,39:48,Xayah,4,3,2
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Dignitas,33:08,Xayah,6,1,8
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Immortals,35:58,Xayah,4,0,5
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Cloud9,26:46,Xayah,0,1,2
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,27:44,Ashe,2,4,1
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Red,NRG,34:34,Zeri,2,3,1
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,32:32,Lucian,2,3,1
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,30:31,Lucian,7,0,4
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,30:43,Jinx,2,3,6
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,25:39,Zeri,3,2,0
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,26:41,Zeri,12,0,6
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,29:24,Jinx,3,4,1
2023-03-25,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,33:18,Jinx,9,1,8
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,FlyQuest,30:48,Jinx,4,1,5
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,FlyQuest,37:23,Jinx,6,4,3
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,FlyQuest,30:42,Jinx,2,4,1
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,Counter Logic Gaming,43:01,Kai'Sa,13,2,8
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,40:31,Kai'Sa,7,4,11
2023-03-18,NA LCS 2023 Spring,13.5,Win,Blue,Immortals,30:17,Jinx,5,2,10
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Evil Geniuses.NA,41:30,Xayah,10,1,5
2023-03-15,NA LCS 2023 Spring,13.5,Win,Blue,TSM,46:60,Jinx,11,2,9
2023-03-11,NA LCS 2023 Spring,13.4,Win,Red,Dignitas,28:21,Xayah,3,0,9
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Golden Guardians,24:15,Xayah,1,0,6
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Counter Logic Gaming,30:29,Caitlyn,1,3,2
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Blue,Cloud9,23:11,Zeri,1,4,1
2023-02-25,NA LCS 2023 Spring,13.3,Win,Blue,Team Liquid,41:35,Zeri,4,3,5
2023-02-23,NA LCS 2023 Spring,13.3,Loss,Red,FlyQuest,33:41,Xayah,3,4,4
2023-02-18,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,34:28,Lucian,3,3,3
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,34:54,Zeri,1,3,1
2023-02-15,NA LCS 2023 Spring,13.3,Loss,Red,Evil Geniuses.NA,45:07,Jinx,3,4,1
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,FlyQuest,30:50,Xayah,0,4,3
2023-02-10,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,37:49,Caitlyn,14,0,6
2023-02-04,NA LCS 2023 Spring,13.1,Win,Red,TSM,30:02,Zeri,8,2,7
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,31:09,Zeri,9,1,5
2023-01-28,NA LCS 2023 Spring,13.1,Win,Blue,Immortals,28:21,Zeri,5,0,9
