Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Win,Red,NRG,41:60,Corki,5,3,8
2023-08-12,NA LCS 2023 Championship,13.14,Win,Red,NRG,37:33,Kai'Sa,9,4,8
2023-08-12,NA LCS 2023 Championship,13.14,Win,Blue,NRG,33:20,Tristana,3,4,9
2023-08-05,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,28:01,Jayce,1,5,6
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,30:08,Gragas,9,0,15
2023-08-05,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,40:05,LeBlanc,5,0,6
2023-07-22,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,25:34,Ahri,2,1,11
2023-07-22,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,25:35,Tristana,3,1,6
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,TSM,20:42,Tristana,3,0,6
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,NRG,38:19,Jayce,2,6,9
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,25:46,Tristana,2,1,3
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:08,Jayce,6,0,8
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,Team Liquid,38:33,Lissandra,1,6,10
2023-07-07,NA LCS 2023 Summer,13.13,Win,Red,Immortals,28:16,Orianna,6,2,7
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,30:02,Tristana,8,1,4
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,27:56,Annie,2,4,3
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,Evil Geniuses.NA,22:11,Ahri,4,1,13
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,28:18,Zeri,2,0,2
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:11,Annie,3,0,10
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,NRG,29:59,Annie,0,3,3
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,26:46,Jayce,5,1,3
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,28:24,Neeko,6,0,6
2023-06-17,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:25,K'Sante,6,2,7
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,Dignitas,27:24,Annie,5,2,11
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Golden Guardians,26:37,Gragas,0,3,6
2023-05-17,INT MSI 2023,13.8,Loss,Blue,Gen.G,26:31,K'Sante,1,4,1
2023-05-17,INT MSI 2023,13.8,Loss,Blue,Gen.G,25:55,LeBlanc,1,0,1
2023-05-17,INT MSI 2023,13.8,Loss,Red,Gen.G,27:07,Syndra,2,2,0
2023-05-14,INT MSI 2023,13.8,Win,Blue,Golden Guardians,35:02,K'Sante,2,2,7
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,35:05,Ahri,2,4,5
2023-05-14,INT MSI 2023,13.8,Win,Blue,Golden Guardians,30:39,Annie,3,0,6
2023-05-14,INT MSI 2023,13.8,Win,Red,Golden Guardians,22:59,Sylas,5,1,7
2023-05-11,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,34:38,LeBlanc,1,2,5
2023-05-11,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,31:06,Galio,1,2,5
2023-05-11,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,34:55,Sylas,2,6,6
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Golden Guardians,29:06,LeBlanc,4,2,4
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,26:22,LeBlanc,3,1,5
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,28:26,Akali,2,5,2
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,37:58,Orianna,6,4,11
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Red,FlyQuest,36:55,Sylas,8,3,11
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Red,FlyQuest,34:51,Orianna,4,0,9
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,FlyQuest,32:16,Tristana,9,1,8
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:29,LeBlanc,5,1,6
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Counter Logic Gaming,28:28,Jayce,2,1,4
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Counter Logic Gaming,34:39,K'Sante,0,3,1
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Counter Logic Gaming,38:23,Yone,4,2,4
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,FlyQuest,29:25,Jayce,0,5,9
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,37:51,Jayce,3,10,2
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Immortals,27:11,K'Sante,0,0,5
2023-03-15,NA LCS 2023 Spring,13.5,Win,Blue,FlyQuest,26:36,Orianna,1,0,8
