Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,24:17,Renata Glasc,0,3,5
2023-08-10,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,30:37,Leona,2,3,8
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,21:09,Rakan,0,2,3
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,27:13,Rakan,1,3,2
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,28:01,Rakan,0,2,8
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,30:08,Braum,0,4,9
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,40:05,Rell,1,5,7
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,TSM,21:23,Rakan,1,1,10
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Red,TSM,27:11,Rakan,0,3,1
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,TSM,29:53,Rakan,0,3,19
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,TSM,29:44,Rakan,0,2,22
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,TSM,25:17,Alistar,1,3,3
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,TSM,28:29,Amumu,0,3,9
2023-07-20,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,34:32,Rell,0,4,25
2023-07-19,NA LCS 2023 Summer,13.13,Win,Red,Immortals,30:59,Rell,0,2,13
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:46,Rell,0,2,6
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,FlyQuest,24:23,Nautilus,0,9,7
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,19:12,Milio,0,0,1
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,NRG,28:01,Nautilus,1,6,6
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,23:52,Rell,0,2,14
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,33:04,Rell,0,6,17
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,22:11,Janna,1,3,1
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:51,Rakan,2,0,15
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,TSM,29:34,Milio,0,0,12
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,38:06,Rakan,0,2,16
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,36:30,Rell,0,2,14
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,27:44,Rakan,2,2,15
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Dignitas,35:42,Lulu,1,3,6
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Golden Guardians,31:23,Lulu,0,0,13
2023-06-15,NA LCS 2023 Summer,13.11,Win,Blue,NRG,24:45,Yuumi,0,0,10
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,36:55,Thresh,0,3,13
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:51,Rakan,1,7,3
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,32:16,Rakan,0,7,6
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Red,100 Thieves,30:48,Lulu,0,2,12
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,37:23,Lulu,0,2,16
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,30:42,Nami,0,0,13
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,Cloud9,29:25,Thresh,2,3,6
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,TSM,30:30,Heimerdinger,0,3,6
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,27:48,Nautilus,0,3,14
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,26:36,Lulu,0,2,2
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,33:07,Rakan,0,2,11
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Blue,Team Liquid,26:31,Nami,0,4,3
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,39:47,Lulu,0,5,4
2023-03-02,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,37:28,Rakan,1,1,19
2023-02-25,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,35:37,Lulu,2,0,9
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,33:41,Soraka,0,3,16
