Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,41:60,Sivir,7,4,6
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,37:33,Ezreal,4,2,4
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,33:20,Aphelios,5,4,3
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,29:07,Xayah,1,3,10
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:41,Xayah,8,6,9
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,Golden Guardians,37:35,Kai'Sa,8,1,4
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,32:60,Kai'Sa,11,1,3
2023-07-29,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,29:52,Ezreal,2,2,7
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,35:32,Ezreal,3,3,11
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Ezreal,8,1,6
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,45:05,Xayah,10,1,6
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Immortals,33:06,Ashe,2,5,4
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,35:08,Aphelios,1,4,2
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,38:19,Xayah,6,2,6
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,35:55,Xayah,7,4,7
2023-07-13,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,43:50,Kai'Sa,11,3,13
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,27:27,Kai'Sa,4,0,6
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,28:01,Jinx,9,2,11
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,TSM,35:02,Aphelios,1,3,2
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,31:01,Jinx,9,3,5
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,34:29,Aphelios,4,2,4
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,36:45,Varus,2,1,1
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Golden Guardians,50:17,Kai'Sa,6,3,8
2023-06-24,NA LCS 2023 Summer,13.12,Win,Red,Cloud9,29:59,Kai'Sa,6,1,6
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,26:35,Aphelios,1,4,2
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,31:01,Aphelios,1,5,2
2023-06-16,NA LCS 2023 Summer,13.11,Win,Blue,100 Thieves,34:34,Aphelios,5,2,12
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Immortals,41:00,Zeri,15,5,5
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Red,Evil Geniuses.NA,24:45,Zeri,0,4,0
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,33:26,Zeri,1,2,1
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,24:16,Zeri,0,5,0
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,32:33,Jinx,1,2,0
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,41:32,Aphelios,12,5,7
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:25,Varus,9,3,2
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:52,Zeri,2,4,7
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,40:31,Varus,6,3,6
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Blue,Team Liquid,42:09,Aphelios,9,2,5
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,41:30,Caitlyn,1,3,5
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Blue,Immortals,27:51,Lucian,1,4,1
2023-03-11,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,38:14,Varus,11,4,5
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,35:07,Aphelios,4,2,3
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,FlyQuest,39:47,Varus,5,0,5
2023-03-02,NA LCS 2023 Spring,13.4,Win,Red,TSM,43:23,Aphelios,5,2,7
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,32:43,Lucian,3,3,2
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Dignitas,36:48,Zeri,3,2,2
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Immortals,32:56,Zeri,7,0,7
2023-02-16,NA LCS 2023 Spring,13.3,Win,Blue,Team Liquid,44:47,Jhin,8,2,9
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,45:07,Caitlyn,2,1,6
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,38:50,Lucian,4,1,3
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,FlyQuest,32:31,Lucian,1,4,7
