Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,36:45,Tristana,4,5,4
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Sylas,3,0,4
2023-08-13,NA LCS 2023 Championship,13.14,Win,Blue,Team Liquid,32:27,Tristana,6,4,11
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,23:33,Tristana,1,4,2
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,30:09,Neeko,0,1,8
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,25:52,Jayce,8,2,4
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,23:19,Jayce,9,2,8
2023-08-11,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,31:50,Azir,2,4,5
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:07,Taliyah,2,4,7
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,NRG,32:41,Taliyah,3,4,11
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,NRG,37:35,Lissandra,2,2,5
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,32:60,Jayce,5,5,3
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,25:34,Jayce,3,3,0
2023-07-21,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,36:36,Ahri,5,2,8
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:35,Taliyah,2,1,11
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,28:31,Azir,5,2,7
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,35:55,Yone,2,3,6
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Immortals,34:56,Azir,8,3,6
2023-07-12,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,19:12,LeBlanc,7,0,2
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,TSM,27:01,Sylas,1,3,5
2023-07-06,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,35:20,Sylas,6,1,8
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,27:56,LeBlanc,3,0,5
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,33:06,Annie,4,2,8
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,39:48,Yone,3,2,6
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,NRG,50:17,Azir,4,3,6
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,TSM,32:28,Azir,2,2,9
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,Immortals,26:13,Jayce,9,3,7
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Dignitas,33:09,Akali,6,2,3
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,36:54,Azir,6,6,7
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Evil Geniuses.NA,31:23,K'Sante,2,5,3
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,26:37,Ahri,0,0,3
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,35:02,Yasuo,2,5,6
2023-05-14,INT MSI 2023,13.8,Win,Red,Cloud9,35:05,Taliyah,2,4,11
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,30:39,Nautilus,0,4,4
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Cloud9,22:59,Jayce,1,4,0
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,27:02,Galio,0,3,4
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,31:33,Lissandra,1,4,4
2023-05-12,INT MSI 2023,13.8,Loss,Red,JD Gaming,24:40,Sion,0,2,5
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,34:00,K'Sante,3,2,5
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,32:26,Lissandra,6,5,3
2023-05-07,INT MSI 2023,13.8,Win,Blue,PSG Talon,33:57,Ahri,2,0,7
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,23:19,Taliyah,8,0,9
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,25:12,Ahri,3,0,8
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,30:07,LeBlanc,6,2,3
2023-05-04,INT MSI 2023,13.8,Win,Red,Bilibili Gaming,39:49,Yasuo,5,3,12
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,28:49,Lissandra,0,5,5
2023-05-03,INT MSI 2023,13.8,Win,Red,GAM Esports,26:56,LeBlanc,5,2,8
2023-05-03,INT MSI 2023,13.8,Win,Blue,GAM Esports,28:26,Ahri,7,0,11
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,29:06,Galio,1,4,4
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,26:22,Ahri,1,2,1
