Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,35:36,K'Sante,3,1,3
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,45:33,K'Sante,1,2,12
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,23:09,Poppy,0,3,0
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,39:24,Rumble,5,3,14
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Blue,Dignitas,26:49,Rumble,0,4,1
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,21:23,Ornn,1,4,0
2023-07-27,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:11,Rumble,5,4,8
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:53,Ornn,2,1,4
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:44,Rumble,2,4,5
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,25:17,Ornn,3,1,8
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,28:29,Kennen,1,1,3
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,20:42,Poppy,0,1,3
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,24:59,K'Sante,0,0,2
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,23:59,Gwen,0,5,0
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,38:27,Ornn,2,4,12
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,29:13,Renekton,1,3,6
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,Golden Guardians,27:01,Renekton,2,3,1
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:02,Renekton,7,0,8
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Immortals,40:04,Renekton,0,2,6
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,100 Thieves,33:07,Renekton,1,3,2
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,31:47,Renekton,0,3,1
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,29:34,K'Sante,0,2,2
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Golden Guardians,32:28,Gragas,2,4,1
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,NRG,26:35,K'Sante,6,1,6
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Immortals,30:27,K'Sante,2,1,4
2023-06-17,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,29:25,Malphite,0,3,3
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,33:43,Malphite,1,2,9
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Team Liquid,29:57,Malphite,3,4,6
2023-03-18,NA NACL 2023 Spring Playoffs,13.5,Loss,Blue,Wildcard Gaming,33:02,Gragas,1,1,4
2023-03-18,NA NACL 2023 Spring Playoffs,13.5,Loss,Blue,Wildcard Gaming,26:40,Sejuani,0,3,2
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,FlyQuest,30:30,K'Sante,1,1,1
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,29:28,Sion,4,1,9
2023-03-14,NA NACL 2023 Spring Playoffs,13.5,Loss,Blue,100 Thieves Challengers,31:59,K'Sante,2,3,1
2023-03-14,NA NACL 2023 Spring Playoffs,13.5,Loss,Red,100 Thieves Challengers,26:04,K'Sante,2,2,2
2023-03-12,NA NACL 2023 Spring Playoffs,13.5,Win,Red,CLG Challengers,29:03,Sion,3,2,11
2023-03-12,NA NACL 2023 Spring Playoffs,13.5,Win,Blue,CLG Challengers,29:10,K'Sante,6,1,7
2023-03-12,NA NACL 2023 Spring Playoffs,13.5,Loss,Red,CLG Challengers,33:57,Sion,6,5,2
2023-03-06,NA NACL 2023 Spring,13.4,Win,Blue,Evil Geniuses Challengers,41:34,K'Sante,5,4,12
2023-03-06,NA NACL 2023 Spring,13.4,Win,Blue,Evil Geniuses Challengers,27:37,Renekton,3,0,6
2023-03-05,NA NACL 2023 Spring,13.4,Win,Blue,FLY FAM,35:53,Renekton,5,1,2
2023-03-05,NA NACL 2023 Spring,13.4,Loss,Blue,FLY FAM,39:08,Renekton,5,5,14
2023-02-28,NA NACL 2023 Spring,13.3,Win,Red,CLG Faith,23:38,Olaf,8,0,2
2023-02-28,NA NACL 2023 Spring,13.3,Win,Blue,CLG Faith,34:03,Gwen,5,1,3
2023-02-27,NA NACL 2023 Spring,13.3,Loss,Red,CLG Challengers,43:39,Olaf,3,2,5
2023-02-27,NA NACL 2023 Spring,13.3,Loss,Blue,CLG Challengers,40:17,Jax,5,5,1
2023-02-19,NA NACL 2023 Spring,13.3,Loss,Red,Cloud9 Challengers,31:32,Sion,1,2,6
2023-02-19,NA NACL 2023 Spring,13.3,Loss,Blue,Cloud9 Challengers,28:57,Gnar,0,2,0
2023-02-18,NA NACL 2023 Spring,13.3,Win,Blue,Team Liquid First,18:39,Sion,3,0,4
2023-02-18,NA NACL 2023 Spring,13.3,Win,Blue,Team Liquid First,25:42,Sion,4,1,7
2023-02-13,NA NACL 2023 Spring,13.1,Win,Red,Cincinnati Fear,30:06,Sion,2,1,3
