Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,41:60,Rakan,0,5,14
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,37:33,Rell,0,5,7
2023-08-12,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,33:20,Alistar,0,3,8
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,29:07,Rakan,0,6,15
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:41,Nautilus,2,6,13
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,Golden Guardians,37:35,Rell,1,1,12
2023-08-06,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,32:60,Maokai,0,1,12
2023-07-29,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,29:52,Rell,0,3,8
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,35:32,Rell,2,4,16
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Rell,0,3,11
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,45:05,Rakan,0,2,19
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Immortals,33:06,Rakan,0,4,7
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,35:08,Alistar,0,2,2
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,38:19,Rakan,1,1,11
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,35:55,Alistar,0,4,16
2023-07-13,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,43:50,Rakan,3,2,22
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,27:27,Rell,0,4,12
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,28:01,Rell,0,3,19
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,TSM,35:02,Nautilus,0,5,1
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,31:01,Milio,1,3,11
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,34:29,Blitzcrank,0,3,8
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,36:45,Rell,0,1,3
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Golden Guardians,50:17,Rell,3,4,14
2023-06-24,NA LCS 2023 Summer,13.12,Win,Red,Cloud9,29:59,Rell,0,1,12
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,26:35,Milio,0,1,4
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,31:01,Alistar,0,4,4
2023-06-16,NA LCS 2023 Summer,13.11,Win,Blue,100 Thieves,34:34,Milio,1,0,17
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Immortals,41:00,Yuumi,1,2,20
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Red,Evil Geniuses.NA,24:45,Milio,0,0,0
2023-03-18,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,40:24,Annie,0,3,11
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,TSM,29:28,Nami,0,4,3
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,Team Liquid,31:38,Heimerdinger,0,2,3
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Blue,100 Thieves,28:21,Thresh,1,4,1
2023-03-10,NA LCS 2023 Spring,13.4,Win,Red,Counter Logic Gaming,45:27,Thresh,2,3,12
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,30:14,Karma,1,0,6
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Blue,Immortals,46:51,Karma,0,4,17
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Blue,FlyQuest,35:37,Annie,0,5,6
2023-02-24,NA LCS 2023 Spring,13.3,Win,Red,Evil Geniuses.NA,36:48,Nami,0,0,12
2023-02-18,NA LCS 2023 Spring,13.3,Loss,Blue,TSM,31:56,Lulu,0,2,0
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,28:34,Lulu,0,1,2
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,29:55,Nautilus,1,4,2
