Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:35,Renekton,1,2,0
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,38:45,K'Sante,7,1,3
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,TSM,24:59,Rumble,3,1,2
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,30:01,Rumble,4,5,8
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Evil Geniuses.NA,24:23,Rumble,3,1,13
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,27:27,Renekton,1,4,2
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,31:34,Renekton,1,4,4
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,35:20,Renekton,4,3,2
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,29:49,Renekton,1,3,1
2023-07-01,NA LCS 2023 Summer,13.12,Win,Red,Immortals,23:32,Renekton,6,1,8
2023-06-29,NA LCS 2023 Summer,13.12,Win,Red,NRG,36:45,Renekton,2,3,4
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,44:10,Poppy,3,2,8
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,Dignitas,25:39,Renekton,1,2,3
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,36:30,Malphite,1,1,5
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,28:24,Renekton,2,2,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Golden Guardians,36:54,Gragas,1,6,11
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,TSM,33:43,Ornn,1,2,1
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,100 Thieves,30:31,K'Sante,0,2,0
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,28:47,Sion,0,5,2
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,31:09,K'Sante,0,1,4
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,30:18,Ornn,0,1,6
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,38:16,Sion,1,8,4
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,32:51,Sion,3,3,15
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,36:55,Sion,3,3,9
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:51,Jax,1,3,1
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,32:16,Renekton,1,6,4
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Red,100 Thieves,30:48,Renekton,1,2,3
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,37:23,K'Sante,6,3,7
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,30:42,Sion,0,2,7
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,Cloud9,29:25,Sion,1,4,1
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,TSM,30:30,Jax,0,0,5
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,27:48,K'Sante,6,1,3
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,26:36,K'Sante,1,4,0
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,33:07,Sion,2,2,8
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Blue,Team Liquid,26:31,K'Sante,5,3,1
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,39:47,K'Sante,0,3,1
2023-03-02,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,37:28,K'Sante,4,2,6
2023-02-25,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,35:37,Renekton,7,3,3
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,33:41,Renekton,3,1,8
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Counter Logic Gaming,29:41,Jax,1,3,5
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,TSM,38:17,Sion,0,3,7
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:13,K'Sante,1,1,7
2023-02-10,NA LCS 2023 Spring,13.1,Win,Red,100 Thieves,30:50,K'Sante,1,4,15
2023-02-09,NA LCS 2023 Spring,13.1,Win,Blue,Evil Geniuses.NA,32:31,Sion,2,0,10
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,29:58,K'Sante,3,0,3
2023-02-02,NA LCS 2023 Spring,13.1,Win,Red,Golden Guardians,38:11,Gwen,3,2,1
2023-01-28,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,28:55,K'Sante,0,2,4
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,31:36,Gangplank,3,1,11
