Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,35:36,Xerath,3,2,6
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,45:33,Ahri,12,1,9
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,Dignitas,23:09,Jayce,2,3,0
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,39:24,Jayce,6,2,10
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Blue,Dignitas,26:49,Jayce,2,4,0
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,21:23,Tristana,0,2,2
2023-07-27,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:11,Tristana,6,1,3
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:53,Kai'Sa,1,3,3
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,29:44,Lissandra,2,6,4
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,25:17,Lucian,8,3,9
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,28:29,Jayce,4,6,1
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,20:42,Jayce,2,2,2
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,24:59,Neeko,0,4,1
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,23:59,Sejuani,0,4,2
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,38:27,Kai'Sa,12,2,5
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,29:13,Kai'Sa,11,2,4
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,Golden Guardians,27:01,Tristana,6,2,1
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:02,LeBlanc,4,1,9
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Immortals,40:04,Yone,6,2,7
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Golden Guardians,32:28,Graves,3,4,4
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,NRG,26:35,Graves,1,3,4
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Immortals,30:27,Graves,7,2,8
2023-06-17,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,29:25,Ahri,4,3,2
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,33:43,LeBlanc,6,0,2
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Team Liquid,29:57,Gragas,1,4,5
2023-04-02,NA NACL 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9 Challengers,38:07,Taliyah,0,3,3
2023-04-02,NA NACL 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9 Challengers,37:06,Tristana,0,2,3
2023-04-02,NA NACL 2023 Spring Playoffs,13.5,Loss,Red,Cloud9 Challengers,32:40,Aurelion Sol,1,2,3
2023-04-02,NA NACL 2023 Spring Playoffs,13.5,Win,Blue,Cloud9 Challengers,41:44,Veigar,0,3,6
2023-03-27,NA NACL 2023 Spring Playoffs,13.5,Win,Blue,Cloud9 Challengers,28:56,Aurelion Sol,7,1,7
2023-03-27,NA NACL 2023 Spring Playoffs,13.5,Loss,Red,Cloud9 Challengers,30:32,Taliyah,0,3,0
2023-03-27,NA NACL 2023 Spring Playoffs,13.5,Win,Red,Cloud9 Challengers,31:41,Veigar,1,3,6
2023-03-27,NA NACL 2023 Spring Playoffs,13.5,Win,Red,Cloud9 Challengers,28:09,Ahri,3,2,6
2023-03-19,NA NACL 2023 Spring Playoffs,13.5,Win,Red,100 Thieves Challengers,28:01,Taliyah,4,1,8
2023-03-19,NA NACL 2023 Spring Playoffs,13.5,Win,Red,100 Thieves Challengers,36:21,LeBlanc,3,1,9
2023-03-14,NA NACL 2023 Spring Playoffs,13.5,Win,Red,FlyQuest Challengers,46:30,Aurelion Sol,12,2,10
2023-03-14,NA NACL 2023 Spring Playoffs,13.5,Win,Blue,FlyQuest Challengers,35:42,Aurelion Sol,10,3,10
2023-03-14,NA NACL 2023 Spring Playoffs,13.5,Loss,Blue,FlyQuest Challengers,30:21,Annie,0,6,5
2023-03-12,NA NACL 2023 Spring Playoffs,13.5,Win,Blue,FLY FAM,32:59,Veigar,3,3,10
2023-03-12,NA NACL 2023 Spring Playoffs,13.5,Win,Blue,FLY FAM,27:11,Cho'Gath,5,0,5
2023-03-06,NA NACL 2023 Spring,13.4,Win,Red,AOE Gold,35:03,Taliyah,4,6,16
2023-03-06,NA NACL 2023 Spring,13.4,Loss,Blue,AOE Gold,33:44,Annie,1,5,8
2023-03-05,NA NACL 2023 Spring,13.4,Win,Blue,Immortals Challengers,30:45,Gragas,5,2,11
2023-03-05,NA NACL 2023 Spring,13.4,Loss,Blue,Immortals Challengers,33:15,Annie,1,5,6
2023-02-28,NA NACL 2023 Spring,13.3,Win,Red,Golden Guardians Challengers,35:09,Gragas,2,2,12
2023-02-28,NA NACL 2023 Spring,13.3,Loss,Blue,Golden Guardians Challengers,28:06,Taliyah,1,4,2
2023-02-27,NA NACL 2023 Spring,13.3,Win,Red,Team Liquid Challengers,25:43,Azir,3,1,4
2023-02-26,NA NACL 2023 Spring,13.3,Loss,Blue,Team Liquid Challengers,29:40,Tristana,0,4,0
2023-02-20,NA NACL 2023 Spring,13.3,Loss,Red,100 Thieves Challengers,27:34,LeBlanc,0,3,0
2023-02-20,NA NACL 2023 Spring,13.3,Win,Blue,100 Thieves Challengers,29:28,Taliyah,6,2,4
