Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,NRG,33:06,Rell,0,2,18
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,38:45,Graves,2,4,5
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,30:59,Nocturne,0,5,5
2023-07-15,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,35:27,Poppy,2,4,19
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,34:56,Nautilus,3,6,7
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,26:37,Nocturne,2,1,13
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,28:16,Viego,2,2,7
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,24:54,Maokai,0,4,1
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,40:04,Maokai,1,4,6
2023-07-01,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,23:32,Sejuani,1,5,3
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,26:51,Viego,0,4,5
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,26:11,Viego,0,4,5
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,100 Thieves,35:58,Sejuani,0,2,2
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,26:13,Wukong,1,5,2
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,30:27,Sejuani,1,5,4
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,21:09,Sejuani,0,4,0
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,NRG,41:00,Kha'Zix,3,5,10
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Dignitas,27:31,Sejuani,1,1,9
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,30:17,Vi,1,6,3
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,27:11,Viego,4,1,2
2023-03-16,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,27:51,Kindred,2,0,8
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,33:07,Viego,1,4,7
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Red,TSM,44:22,Viego,5,3,7
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,Golden Guardians,34:01,Vi,1,6,5
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Dignitas,46:51,Vi,2,7,9
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,33:19,Elise,1,4,4
2023-02-23,NA LCS 2023 Spring,13.3,Loss,Red,Team Liquid,28:07,Vi,2,5,0
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,Evil Geniuses.NA,32:56,Maokai,0,1,2
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,28:50,Sejuani,1,4,2
2023-02-15,NA LCS 2023 Spring,13.3,Loss,Red,FlyQuest,28:13,Sejuani,2,3,0
2023-02-11,NA LCS 2023 Spring,13.1,Loss,Red,Golden Guardians,30:26,Wukong,2,4,2
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,39:31,Graves,3,1,8
2023-02-04,NA LCS 2023 Spring,13.1,Win,Red,Counter Logic Gaming,36:27,Kindred,3,1,7
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Blue,Team Liquid,26:36,Wukong,2,2,2
2023-01-28,NA LCS 2023 Spring,13.1,Loss,Red,100 Thieves,28:21,Wukong,3,4,0
2023-01-27,NA LCS 2023 Spring,13.1,Loss,Blue,TSM,31:34,Sejuani,0,3,2
