Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,36:45,K'Sante,2,2,7
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,K'Sante,4,1,7
2023-08-13,NA LCS 2023 Championship,13.14,Win,Blue,Team Liquid,32:27,K'Sante,0,2,11
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,23:33,Rumble,1,1,2
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,30:09,K'Sante,2,3,5
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,25:52,K'Sante,5,1,6
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,23:19,Renekton,3,1,8
2023-08-11,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,31:50,Renekton,2,2,2
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:07,Poppy,1,3,8
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,NRG,32:41,Rumble,6,3,9
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,NRG,37:35,K'Sante,5,4,3
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,32:60,Rumble,1,4,7
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,25:34,Gwen,0,2,1
2023-07-21,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,36:36,Jax,2,4,8
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:35,Jax,4,1,7
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,28:31,Jax,3,2,5
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,35:55,Jax,7,4,3
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Immortals,34:56,Jax,3,0,2
2023-07-12,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,19:12,K'Sante,1,1,3
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,TSM,27:01,K'Sante,1,2,5
2023-07-06,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,35:20,K'Sante,3,2,7
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,27:56,K'Sante,1,3,9
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,33:06,Poppy,3,0,7
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,39:48,Rumble,6,3,6
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,NRG,50:17,Jax,1,7,6
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,TSM,32:28,Jax,4,2,3
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,Immortals,26:13,Renekton,3,2,8
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Dignitas,33:09,Jax,4,1,5
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,36:54,Yone,5,2,7
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Evil Geniuses.NA,31:23,Rumble,2,4,5
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,26:37,Ornn,1,3,0
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,35:02,Poppy,1,3,1
2023-05-14,INT MSI 2023,13.8,Win,Red,Cloud9,35:05,Poppy,1,1,11
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,30:39,Rumble,3,1,3
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Cloud9,22:59,Fiora,0,2,1
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,27:02,Kennen,2,1,2
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,31:33,K'Sante,3,3,2
2023-05-12,INT MSI 2023,13.8,Loss,Red,JD Gaming,24:40,Jax,1,3,2
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,34:00,Ornn,0,1,9
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,32:26,Poppy,4,1,9
2023-05-07,INT MSI 2023,13.8,Win,Blue,PSG Talon,33:57,Kennen,3,3,2
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,23:19,K'Sante,1,0,12
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,25:12,Kennen,3,1,8
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,30:07,Poppy,1,4,2
2023-05-04,INT MSI 2023,13.8,Win,Red,Bilibili Gaming,39:49,K'Sante,7,3,5
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,28:49,Malphite,0,3,2
2023-05-03,INT MSI 2023,13.8,Win,Red,GAM Esports,26:56,Renekton,3,0,8
2023-05-03,INT MSI 2023,13.8,Win,Blue,GAM Esports,28:26,Poppy,1,1,7
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,29:06,Malphite,0,5,4
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,26:22,Kennen,2,6,0
