Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,25:52,Rell,1,7,6
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,23:19,Nautilus,1,7,4
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,31:50,Alistar,0,0,9
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,TSM,35:36,Rakan,0,1,12
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,TSM,45:33,Nautilus,2,7,7
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,TSM,23:09,Rakan,1,0,8
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,TSM,39:24,Braum,1,5,14
2023-08-03,NA LCS 2023 Championship,13.14,Win,Red,TSM,26:49,Rakan,0,1,14
2023-07-22,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,28:12,Blitzcrank,1,2,9
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,33:25,Alistar,0,6,3
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,33:35,Rell,1,7,5
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,42:34,Nautilus,0,4,6
2023-07-15,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,35:27,Nautilus,2,7,4
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Red,NRG,43:50,Braum,2,9,5
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,29:13,Rell,0,5,5
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,41:32,Rakan,1,5,11
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,34:25,Rakan,2,2,3
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Evil Geniuses.NA,34:52,Lulu,2,6,6
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:29,Rakan,0,2,10
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,28:28,Lulu,0,2,5
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Cloud9,34:39,Lulu,0,0,6
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,38:23,Rakan,2,4,8
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,43:01,Rakan,0,7,7
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Cloud9,37:51,Lulu,1,3,21
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Team Liquid,41:09,Nautilus,0,3,8
2023-03-15,NA LCS 2023 Spring,13.5,Win,Red,Golden Guardians,39:16,Rakan,2,1,12
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,38:14,Nautilus,2,5,2
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Blue,Dignitas,45:27,Rakan,1,6,10
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,100 Thieves,30:29,Varus,2,1,10
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,37:28,Thresh,0,6,8
2023-02-24,NA LCS 2023 Spring,13.3,Win,Red,Immortals,33:19,Nami,0,1,19
2023-02-24,NA LCS 2023 Spring,13.3,Win,Blue,TSM,37:59,Nami,0,1,14
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,FlyQuest,29:41,Annie,0,2,4
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,100 Thieves,34:54,Lulu,1,1,10
2023-02-16,NA LCS 2023 Spring,13.3,Win,Red,Team Liquid,31:54,Annie,0,1,12
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Red,TSM,32:59,Sona,1,3,5
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,Golden Guardians,26:36,Lux,0,6,1
2023-02-04,NA LCS 2023 Spring,13.1,Loss,Blue,Immortals,36:27,Lulu,0,4,4
2023-02-02,NA LCS 2023 Spring,13.1,Loss,Red,Cloud9,26:26,Karma,1,3,2
2023-01-27,NA LCS 2023 Spring,13.1,Win,Blue,Evil Geniuses.NA,44:11,Karma,0,3,10
2023-01-27,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,30:34,Ashe,0,1,6
