Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:35,Aphelios,1,1,0
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,38:45,Kai'Sa,7,1,8
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,TSM,24:59,Kai'Sa,3,0,3
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,30:01,Ashe,3,3,8
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Evil Geniuses.NA,24:23,Kai'Sa,13,1,9
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,27:27,Varus,1,3,3
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,31:34,Kai'Sa,3,1,7
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,35:20,Xayah,7,5,1
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,29:49,Aphelios,3,2,0
2023-07-01,NA LCS 2023 Summer,13.12,Win,Red,Immortals,23:32,Aphelios,5,0,3
2023-06-29,NA LCS 2023 Summer,13.12,Win,Red,NRG,36:45,Aphelios,1,0,4
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,44:10,Xayah,4,0,5
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,Dignitas,25:39,Kai'Sa,4,2,1
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,36:30,Aphelios,2,3,4
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,28:24,Aphelios,0,5,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Golden Guardians,36:54,Xayah,6,4,9
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,TSM,33:43,Aphelios,0,2,1
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,100 Thieves,30:31,Aphelios,0,5,0
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,28:47,Xayah,1,6,3
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,31:09,Lucian,5,2,3
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,30:18,Jinx,7,0,3
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,38:16,Xayah,0,4,3
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,32:51,Xayah,5,6,10
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,36:55,Jinx,6,8,5
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:51,Zeri,2,1,3
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,32:16,Zeri,2,3,4
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Red,100 Thieves,30:48,Zeri,2,2,7
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,37:23,Zeri,4,1,13
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,30:42,Lucian,2,0,9
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,Cloud9,29:25,Aphelios,0,4,7
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,TSM,30:30,Zeri,8,0,1
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,27:48,Varus,5,4,10
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,26:36,Zeri,0,0,1
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,33:07,Kai'Sa,4,3,4
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Blue,Team Liquid,26:31,Lucian,1,5,2
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,39:47,Aphelios,2,4,2
2023-03-02,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,37:28,Xayah,5,1,8
2023-02-25,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,35:37,Varus,4,2,5
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,33:41,Zeri,14,0,1
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Counter Logic Gaming,29:41,Aphelios,4,0,3
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,TSM,38:17,Jinx,3,3,5
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:13,Xayah,6,1,5
2023-02-10,NA LCS 2023 Spring,13.1,Win,Red,100 Thieves,30:50,Kai'Sa,11,1,9
2023-02-09,NA LCS 2023 Spring,13.1,Win,Blue,Evil Geniuses.NA,32:31,Caitlyn,10,1,7
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,29:58,Caitlyn,1,0,3
2023-02-02,NA LCS 2023 Spring,13.1,Win,Red,Golden Guardians,38:11,Lucian,4,1,3
2023-01-28,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,28:55,Ezreal,10,0,2
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,31:36,Zeri,9,1,2
