Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,36:45,Viego,5,1,9
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,37:41,Kindred,3,3,3
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:27,Viego,4,4,5
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,23:33,Viego,11,2,3
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,30:09,Viego,5,1,6
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,24:17,Viego,6,1,6
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,30:37,Poppy,1,3,4
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,21:09,Rell,4,1,11
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:13,Rell,4,0,15
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:05,Sejuani,0,1,11
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:18,Nautilus,1,0,6
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,100 Thieves,27:36,Viego,5,1,1
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,100 Thieves,41:44,Poppy,2,4,2
2023-07-29,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:52,Sejuani,0,3,7
2023-07-28,NA LCS 2023 Championship,13.14,Win,Blue,NRG,35:32,Sejuani,4,5,11
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,37:41,Trundle,5,3,6
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,45:05,Maokai,0,6,3
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:25,Lee Sin,1,2,13
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,34:32,Maokai,2,10,9
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,28:31,Vi,1,5,2
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,30:01,Lee Sin,4,4,13
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,38:27,Poppy,1,5,10
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Cloud9,38:33,Wukong,3,2,7
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:42,Wukong,3,1,9
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,24:54,Nautilus,1,1,5
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,NRG,31:01,Sejuani,2,4,8
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,33:06,Vi,0,6,4
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Cloud9,28:18,Wukong,6,2,9
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,FlyQuest,44:10,Vi,1,4,5
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,38:06,Kindred,2,3,2
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,40:28,Wukong,6,6,9
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,NRG,31:01,Vi,5,1,13
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Immortals,21:09,Lee Sin,5,0,6
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,100 Thieves,32:32,Sejuani,4,0,3
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:57,Vi,3,2,12
2023-03-17,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,42:09,Lee Sin,1,5,7
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,41:09,Wukong,3,2,3
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,31:38,Wukong,3,2,5
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,29:09,Lee Sin,1,2,2
2023-03-09,NA LCS 2023 Spring,13.4,Win,Red,FlyQuest,26:31,Lee Sin,7,1,8
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,TSM,33:26,Nocturne,0,3,1
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Golden Guardians,30:38,Vi,2,1,11
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,100 Thieves,41:35,Wukong,3,4,3
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:07,Wukong,8,0,10
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,Cloud9,41:33,Elise,4,3,1
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Red,Evil Geniuses.NA,44:47,Jarvan IV,2,6,8
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,31:54,Graves,1,2,8
2023-02-11,NA LCS 2023 Spring,13.1,Win,Red,Dignitas,24:11,Maokai,2,2,9
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,37:49,Maokai,4,1,2
2023-02-04,NA LCS 2023 Spring,13.1,Win,Blue,Golden Guardians,40:08,Sejuani,5,3,13
