Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:05,Tristana,2,1,0
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:18,Ahri,1,0,1
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,27:36,Tristana,4,1,7
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,41:44,Azir,5,2,5
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,28:12,Tristana,0,3,3
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,36:36,Azir,3,3,9
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:08,Jayce,2,2,10
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,42:34,Jayce,3,3,3
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,TSM,23:59,Jayce,10,2,4
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,27:08,Ahri,3,3,4
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,26:37,Azir,0,4,1
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,27:42,Akali,2,4,1
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,23:52,Azir,1,4,2
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,29:49,Azir,1,0,9
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,TSM,33:07,Jayce,7,1,4
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,39:48,Azir,3,3,5
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Dignitas,33:08,Azir,4,2,8
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Immortals,35:58,Ahri,5,3,4
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Cloud9,26:46,Neeko,2,4,1
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,27:44,Azir,1,8,3
2023-03-16,KR LCK CL 2023 Spring,13.5,Loss,Red,Liiv SANDBOX Youth,35:14,Aurelion Sol,4,4,4
2023-03-16,KR LCK CL 2023 Spring,13.5,Win,Blue,Liiv SANDBOX Youth,26:28,Annie,0,2,14
