Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,24:17,Aatrox,0,3,3
2023-08-10,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,30:37,Gwen,1,2,6
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,21:09,Jax,2,6,3
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,27:13,Aatrox,0,5,1
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,28:01,Renekton,3,4,3
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,30:08,Aatrox,3,7,4
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,40:05,Renekton,2,3,7
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,TSM,21:23,Aatrox,7,0,8
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Red,TSM,27:11,Jax,2,3,0
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,TSM,29:53,Fiora,2,2,8
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,TSM,29:44,Jax,18,2,8
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,TSM,25:17,K'Sante,2,4,3
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,TSM,28:29,K'Sante,2,2,3
2023-07-20,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,34:32,Jax,8,1,6
2023-07-19,NA LCS 2023 Summer,13.13,Win,Red,Immortals,30:59,Gwen,9,1,8
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:46,Jax,2,2,1
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,FlyQuest,24:23,K'Sante,0,5,6
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,19:12,Renekton,1,4,0
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,NRG,28:01,K'Sante,3,6,3
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,23:52,Fiora,2,1,3
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,33:04,Rumble,1,5,12
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,22:11,Renekton,1,6,0
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:51,Renekton,3,3,9
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,TSM,29:34,Renekton,4,1,2
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,38:06,Renekton,4,1,10
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,36:30,K'Sante,5,3,9
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,27:44,Sion,1,2,11
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Dignitas,35:42,Sion,1,4,6
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Golden Guardians,31:23,Gragas,3,3,11
2023-06-15,NA LCS 2023 Summer,13.11,Win,Blue,NRG,24:45,Sion,0,0,7
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,30:17,Gwen,0,3,1
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,27:11,Fiora,0,4,2
2023-03-16,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,27:51,K'Sante,6,0,3
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,33:07,K'Sante,4,3,5
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Red,TSM,44:22,Gnar,0,4,9
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,Golden Guardians,34:01,K'Sante,2,4,7
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Dignitas,46:51,Jayce,5,6,4
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,33:19,K'Sante,1,2,5
2023-02-23,NA LCS 2023 Spring,13.3,Loss,Red,Team Liquid,28:07,Irelia,0,6,2
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,Evil Geniuses.NA,32:56,Renekton,0,4,1
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,28:50,Gnar,1,3,1
2023-02-15,NA LCS 2023 Spring,13.3,Loss,Red,FlyQuest,28:13,Renekton,0,3,1
2023-02-11,NA LCS 2023 Spring,13.1,Loss,Red,Golden Guardians,30:26,Gnar,1,4,1
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,39:31,K'Sante,2,2,11
2023-02-04,NA LCS 2023 Spring,13.1,Win,Red,Counter Logic Gaming,36:27,K'Sante,4,1,5
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Blue,Team Liquid,26:36,K'Sante,4,2,2
2023-01-28,NA LCS 2023 Spring,13.1,Loss,Red,100 Thieves,28:21,Ornn,0,4,2
2023-01-27,NA LCS 2023 Spring,13.1,Loss,Blue,TSM,31:34,Fiora,1,0,0
