Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,25:52,Fiora,0,7,2
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,23:19,K'Sante,3,5,2
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,31:50,K'Sante,1,3,3
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,TSM,35:36,Gwen,5,3,2
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,TSM,45:33,LeBlanc,7,5,2
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,TSM,23:09,K'Sante,3,0,3
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,TSM,39:24,Ornn,2,6,8
2023-08-03,NA LCS 2023 Championship,13.14,Win,Red,TSM,26:49,Ornn,2,1,13
2023-07-22,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,28:12,Fiora,3,1,8
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,33:25,Renekton,1,4,6
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,33:35,K'Sante,1,5,2
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,42:34,K'Sante,6,1,7
2023-07-15,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,35:27,Illaoi,0,9,3
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Red,NRG,43:50,Quinn,4,4,5
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,29:13,Gangplank,0,5,4
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,31:34,Rumble,2,2,4
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,30:02,Jax,3,2,3
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,33:04,Malphite,2,4,4
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,NRG,34:29,Illaoi,2,4,7
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,TSM,31:47,K'Sante,0,1,6
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,100 Thieves,33:08,Renekton,1,5,2
2023-06-24,NA LCS 2023 Summer,13.12,Win,Red,FlyQuest,25:39,Quinn,3,2,8
2023-06-22,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,40:28,K'Sante,4,3,10
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,33:09,Poppy,3,3,5
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Evil Geniuses.NA,35:42,K'Sante,3,2,12
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,Cloud9,27:24,K'Sante,3,4,1
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Immortals,27:31,Jax,0,1,1
2023-01-30,CN LPL 2023 Spring,13.1,Loss,Red,Rare Atom,37:29,Gnar,0,4,8
